== it
telegram.tokenLabel	Token del bot
agents.info.title	Cosa sono gli agenti AI
agents.info.lead	Un assistente che risponde ai clienti nelle app di messaggistica dello studio mentre sei occupato.
agents.info.b1	Risponde 24 ore su 24 — nessuno aspetta l’amministratore
agents.info.b2	Conosce calendario, servizi e prezzi del tuo studio
agents.info.b3	Decidi tu il tono e la lunghezza delle risposte
agents.info.note	Un canale inizia a funzionare appena è collegato nelle impostazioni
agents.activeCount	{{active}} / {{total}}
agents.stateOn	Risponde
agents.stateOffline	Non connesso
agents.configureButton	Configura agenti
agents.enable	Attiva
agents.disable	Disattiva
agents.modalTitle	Configurazione agente AI
agents.modalSubtitle	Risposte automatiche nelle app di messaggistica
agents.tabPrompt	Istruzione di sistema
agents.statusDisabled	Disattivato
agents.statHandled	Gestite
agents.statRating	Valutazione
agents.styleTitle	Stile delle risposte
agents.styleAllChannels	vale per tutti i canali
agents.toneLabel	Tono delle risposte
agents.tone.friendly	Amichevole
agents.tone.formal	Formale
agents.tone.neutral	Neutro
agents.maxLengthLabel	Lunghezza massima della risposta (caratteri)
agents.maxLengthError	Inserisci un numero da 50 a 4000
agents.offHoursLabel	Risposta automatica solo fuori dall’orario di lavoro
agents.promptHint	Questo testo definisce la personalità dell’agente — come comunica, cosa sa e quali argomenti evita.
agents.promptPlaceholder	Sei un assistente di studio cortese...
agents.promptCount_one	{{count}} / 2000 carattere
agents.promptCount_other	{{count}} / 2000 caratteri
agents.tgChannelInactive	Il canale Telegram è disattivato nelle Prenotazioni online — il bot non riceve messaggi, quindi l’agente resta in silenzio.
errors.tg_token_required	Collega prima un bot Telegram — non è ancora stato salvato alcun token.
errors.ig_not_connected	Instagram non è ancora connesso.
errors.wa_not_connected	Il numero WhatsApp non è ancora connesso — collegalo nelle Notifiche.
errors.assistant_unavailable	L’assistente non è temporaneamente disponibile — riprova più tardi.
errors.trial_exhausted	Hai usato tutte le 500 richieste di prova dell’assistente AI. Scegli un piano a pagamento per continuare.
errors.quota_exceeded	Hai usato tutte le richieste AI di questo piano. Il limite si reimposta all’inizio del mese — oppure passa a un piano superiore.
toasts.settingsSaved	Impostazioni salvate
toolStatus.add_client_note	Aggiunta di una nota…
toolStatus.add_client_tag	Aggiunta di un’etichetta…
toolStatus.add_loyalty_points	Aggiunta di punti…
toolStatus.book_client	Prenotazione della lezione…
toolStatus.cancel_booking	Annullamento della prenotazione…
toolStatus.pay_booking	Registrazione del pagamento della lezione…
toolStatus.clear_schedule	Pulizia dell’orario…
toolStatus.create_account	Creazione di un account…
toolStatus.create_branch	Creazione di una sede…
toolStatus.create_client	Creazione di un cliente…
toolStatus.create_counterparty	Creazione di una controparte…
toolStatus.create_hall	Creazione di una sala…
toolStatus.create_lesson	Creazione di una lezione…
toolStatus.create_operation	Registrazione della transazione…
toolStatus.create_package	Creazione di un abbonamento…
toolStatus.create_promo	Creazione di un codice promozionale…
toolStatus.create_service	Creazione di un servizio…
toolStatus.create_staff	Aggiunta di un membro del team…
toolStatus.default	Elaborazione…
toolStatus.delete_client	Eliminazione del cliente…
toolStatus.delete_staff	Rimozione del membro del team…
toolStatus.fill_schedule	Compilazione dell’orario…
toolStatus.find_clients	Ricerca di clienti…
toolStatus.forget_fact	Eliminazione dell’informazione…
toolStatus.freeze_client	Sospensione del cliente…
toolStatus.get_booking_settings	Verifica delle regole di prenotazione…
toolStatus.get_catalog_settings	Verifica delle impostazioni degli abbonamenti…
toolStatus.get_client	Apertura della scheda cliente…
toolStatus.get_client_events	Lettura della cronologia cliente…
toolStatus.get_inactive_clients	Ricerca di clienti inattivi…
toolStatus.get_client_notes	Lettura delle note cliente…
toolStatus.get_client_subscription	Verifica dell’abbonamento cliente…
toolStatus.get_delivery_log	Verifica del registro di consegna…
toolStatus.get_finance_goals	Verifica degli obiettivi finanziari…
toolStatus.get_finance_summary	Verifica delle finanze…
toolStatus.get_lesson	Apertura della lezione…
toolStatus.get_loyalty_programs	Verifica dei programmi fedeltà…
toolStatus.get_loyalty_summary	Verifica della fedeltà…
toolStatus.get_notification_matrix	Verifica delle notifiche…
toolStatus.get_payroll	Calcolo delle retribuzioni…
toolStatus.get_rooms	Verifica delle sale…
toolStatus.get_schedule	Verifica dell’orario…
toolStatus.get_segments	Verifica dei segmenti clienti…
toolStatus.get_services	Verifica dei servizi…
toolStatus.get_staff	Verifica del team…
toolStatus.get_staff_profile	Apertura della scheda del membro del team…
toolStatus.get_stats	Elaborazione dei dati…
toolStatus.get_team_report	Misurazione del ritorno per istruttore…
toolStatus.get_studio_facts	Richiamo di ciò che so sullo studio…
toolStatus.get_today_agenda	Verifica della giornata di oggi…
toolStatus.issue_certificate	Emissione del certificato…
toolStatus.list_operations	Verifica di entrate e uscite…
toolStatus.open_ui	Apertura della schermata…
toolStatus.remember_fact	Memorizzazione…
toolStatus.remove_client_tag	Rimozione dell’etichetta…
toolStatus.sell_subscription	Vendita dell’abbonamento…
toolStatus.set_client_discount	Impostazione dello sconto…
toolStatus.set_staff_day	Segnalazione del giorno nell’orario…
toolStatus.set_staff_schedule	Impostazione dell’orario…
toolStatus.toggle_notification_event	Attivazione/disattivazione della notifica…
toolStatus.ui_section	Verifica del funzionamento della sezione…
toolStatus.update_booking_rules	Aggiornamento delle regole di prenotazione…
toolStatus.update_client	Aggiornamento dei dati cliente…
toolStatus.update_lesson	Aggiornamento della lezione…
toolStatus.update_service	Aggiornamento del servizio…
toolStatus.update_staff	Aggiornamento del membro del team…
quota.trialLow	Restano poche richieste di prova.
quota.label	Richieste all’assistente AI
quota.value	{{used}} di {{limit}}
quota.low	Sei vicino al limite mensile.
quota.upgrade	Scegli un piano
quota.monthPeriod	Per mese solare (UTC)
quota.trialPeriod	Per tutta la prova
rating.up	Buona risposta
rating.down	Cattiva risposta
memory.title	L’assistente ricorda
memory.forget	Dimentica
memory.forgetConfirmTitle	Dimenticare questa informazione?
memory.forgetConfirmMessage	L’assistente smetterà di usarla nelle risposte.
memory.deleted	Informazione rimossa
plan.pages.who	Chi e cosa
plan.pages.when	Quando
plan.pages.check	Verifica
plan.stepOf	Passaggio {{current}} di {{total}}
plan.next	Avanti
plan.back	Indietro
plan.confirm	Approva
plan.confirmDanger	Approva
plan.choose	Scegli
plan.nothingFound	Nessun risultato
plan.nothingToFill	Non c’è nulla da compilare qui — prosegui direttamente.
plan.fromStep	creato al passaggio {{n}}
plan.values.group	gruppo
plan.values.individual	individuale
plan.values.trainer	istruttore
plan.values.admin	amministratore
plan.values.owner	proprietario
plan.values.hourly	all’ora
plan.values.percent	% delle entrate
plan.values.fixed	per lezione
plan.title_one	Approva — {{count}} azione
plan.title_other	Approva — {{count}} azioni
plan.stillEmpty_one	Resta {{count}} campo
plan.stillEmpty_other	Restano {{count}} campi
