== el
categories.all	Όλοι
panel.wallet.payCancelled	Η πληρωμή ακυρώθηκε — δεν χρεώθηκε τίποτα
panel.wallet.payNotCompleted	Η Stripe δεν έχει επιβεβαιώσει ακόμη την πληρωμή. Αν η κάρτα χρεώθηκε, ανανεώστε σε ένα λεπτό.
panel.wallet.payNotApplied	Η κάρτα χρεώθηκε, αλλά η πώληση δεν καταγράφηκε: οι όροι άλλαξαν (πιστοποιητικό, κωδικός προσφοράς ή πακέτο). Καταγράψτε την πώληση χειροκίνητα ή επιστρέψτε τα χρήματα στη Stripe.
panel.wallet.transfer	Μεταφορά
panel.wallet.transferTitle	Μεταφορά συνδρομής
panel.wallet.transferSearchLabel	Μεταφορά σε
panel.wallet.transferSearchPlaceholder	Όνομα ή τηλέφωνο πελάτη
panel.wallet.transferSelectPlaceholder	Επιλέξτε πελάτη
panel.wallet.transferConfirm	Μεταφορά
panel.wallet.transferSuccess	Η συνδρομή μεταφέρθηκε
panel.offers.title	Προσωπική έκπτωση
panel.offers.empty	Δεν υπάρχουν ενεργές εκπτώσεις
panel.offers.grant	Δώστε έκπτωση
panel.offers.cancel	Ακύρωση
panel.offers.valuePercent	{{value}}%
panel.offers.valueAmount	{{value}} ₽
panel.offers.untilDate	έως {{date}}
panel.offers.noExpiry	χωρίς λήξη
panel.offers.scopeRenewal	για ανανέωση
panel.offers.grantTitle	Δώστε προσωπική έκπτωση
panel.offers.grantValue	Μέγεθος έκπτωσης
panel.offers.grantType.percent	Ποσοστό (%)
panel.offers.grantType.amount	Ποσό (₽)
panel.offers.grantValidUntil	Ισχύει έως
panel.offers.grantSubmit	Δώστε
panel.offers.cancelConfirmTitle	Ακύρωση έκπτωσης;
panel.offers.cancelConfirmMessage	Ο πελάτης δεν θα μπορεί πλέον να χρησιμοποιεί αυτή την προσφορά.
panel.offers.toasts.granted	Η έκπτωση δόθηκε
panel.offers.toasts.cancelled	Η έκπτωση ακυρώθηκε
panel.offers.toasts.loadFailed	Αποτυχία φόρτωσης εκπτώσεων
panel.activity.compactTitle	Δραστηριότητα (3 μήν.)
panel.activity.clickForDetails	Κάντε κλικ για λεπτομέρειες
panel.activity.detailedTitle	Αναλυτική δραστηριότητα
panel.activity.periods.month3	3 μήν.
panel.activity.periods.month6	6 μήν.
panel.activity.visitsInPeriod	Επισκέψεις στην περίοδο
panel.activity.visitsTooltip_one	{{count}} επίσκεψη
panel.activity.visitsTooltip_other	{{count}} επισκέψεις
panel.activity.emptyState	Δεν υπάρχουν επισκέψεις σε αυτή την περίοδο
panel.activity.insightTitle	Μέση προσέλευση
panel.activity.insightBody	Κατά μέσο όρο {{avg}} επισκέψεις τον μήνα στην επιλεγμένη περίοδο.
panel.activity.months.jan	Ιαν
panel.activity.months.feb	Φεβ
panel.activity.months.mar	Μαρ
panel.activity.months.apr	Απρ
panel.activity.months.may	Μαΐ
panel.activity.months.jun	Ιουν
panel.activity.months.jul	Ιουλ
panel.activity.months.aug	Αυγ
panel.activity.months.sep	Σεπ
panel.activity.months.oct	Οκτ
panel.activity.months.nov	Νοε
panel.activity.months.dec	Δεκ
panel.tags.title	Ετικέτες
panel.tags.add	Προσθήκη
panel.tags.close	Κλείσιμο
panel.tags.customPlaceholder	Προσαρμοσμένη ετικέτα + Enter…
panel.danger.freeze	Αναστολή
panel.danger.unfreeze	Άρση αναστολής
panel.danger.freezeDisabledHint	Η αναστολή είναι απενεργοποιημένη στις Ρυθμίσεις Καταλόγου → Συνδρομές
panel.danger.delete	Διαγραφή
panel.events.filterTabs.all	Όλα
panel.events.filterTabs.payment	Πληρωμές
panel.events.filterTabs.visit	Επισκέψεις
panel.events.filterTabs.booking	Κρατήσεις
panel.events.filterTabs.cancel	Ακυρώσεις
panel.events.filterTabs.bonus	Μπόνους
panel.events.filterTabs.freeze	Αναστολές
panel.events.empty	Δεν υπάρχουν συμβάντα
panel.notes.title	Σημειώσεις διαχειριστή
panel.notes.prefix	Σημείωση · {{date}}
panel.notes.save	Αποθήκευση
panel.notes.cancel	Ακύρωση
panel.notes.addPlaceholder	Πληκτρολογήστε σημείωση…
panel.notes.add	Προσθήκη σημείωσης
panel.notes.justNow	μόλις τώρα
panel.notes.deleteTitle	Διαγραφή σημείωσης;
panel.notes.deleteMessage	Αυτή η σημείωση δεν μπορεί να ανακτηθεί.
panel.bookingPanel.title	Γρήγορη κράτηση
panel.bookingPanel.today	Σήμερα
panel.bookingPanel.noLessons	Δεν υπάρχουν μαθήματα αυτή την ημέρα
panel.bookingPanel.full	Δεν υπάρχουν θέσεις
panel.bookingPanel.confirm	Κράτηση →
panel.bookingPanel.noSubscription	Ο πελάτης δεν έχει διαθέσιμη συνδρομή για κράτηση
panel.bookingPanel.individual	Ατομική υπηρεσία
panel.bonusPanel.title	Δώστε μπόνους
panel.toasts.noPhone	Ο πελάτης δεν έχει αριθμό τηλεφώνου
panel.toasts.copied	Αντιγράφηκε επιτυχώς
panel.toasts.bookingCreated	Η κράτηση δημιουργήθηκε
panel.toasts.bookingFailed	Η κράτηση απέτυχε
panel.toasts.bonusFailed	Η προσθήκη πόντων απέτυχε
panel.toasts.bonusApplied	Το μπόνους δόθηκε: {{label}}
panel.toasts.clientAdded	Ο πελάτης προστέθηκε
panel.bonusOptions.p200.label	+200 πόντοι
panel.bonusOptions.p200.description	Προσθήκη στο υπόλοιπο επιβράβευσης
panel.bonusOptions.p500.label	+500 πόντοι
panel.bonusOptions.p500.description	Προσθήκη στο υπόλοιπο επιβράβευσης
panel.bonusOptions.p1000.label	+1000 πόντοι
panel.bonusOptions.p1000.description	Προσθήκη στο υπόλοιπο επιβράβευσης
tags.suggested.0	Δοκιμή
tags.suggested.1	VIP
tags.suggested.2	Σύσταση
tags.suggested.3	Online
tags.suggested.4	Ομάδα
tags.suggested.5	Προσωπικό
addModal.title	Νέος πελάτης
addModal.cancel	Ακύρωση
addModal.back	← Πίσω
addModal.continue	Συνέχεια →
addModal.submit	Προσθήκη πελάτη ✓
addModal.stepCounter	Βήμα {{current}} από {{total}}
addModal.trustSignal	Τα δεδομένα προστατεύονται και είναι ορατά μόνο στους διαχειριστές
addModal.steps.1.title	Προσωπικά στοιχεία
addModal.steps.1.sub	Εισαγάγετε τα στοιχεία επικοινωνίας του πελάτη
addModal.steps.2.title	Στοιχεία προφίλ
addModal.steps.2.sub	Πρόσθετες πληροφορίες (προαιρετικό)
addModal.steps.3.title	Συνδρομή
addModal.steps.3.sub	Επιλέξτε τύπο συνδρομής και προσθέστε σημείωση
addModal.steps.4.title	Όλα έτοιμα!
addModal.steps.4.sub	Ελέγξτε τα στοιχεία και προσθέστε τον πελάτη
addModal.step1.previewLabel	Νέος πελάτης · Προεπισκόπηση
addModal.step1.name	Ονοματεπώνυμο *
addModal.step1.namePlaceholder	Μαρία Παπαδοπούλου
addModal.step1.phone	Τηλέφωνο
addModal.step1.phonePlaceholder	+30 690 000 0000
addModal.step1.email	Email
addModal.step1.emailPlaceholder	pelatis@paradeigma.gr
addModal.step2.bday	Ημερομηνία γέννησης
addModal.step2.bdayPlaceholder	12 Απριλίου 1990
addModal.step2.city	Πόλη
addModal.step2.cityPlaceholder	Αθήνα
addModal.step2.tags	Ετικέτες
addModal.step2.tagsPlaceholder	Pilates, VIP, αποκατάσταση… (Enter)
addModal.step2.tagsHint	Πατήστε Enter για να προσθέσετε ετικέτα
addModal.step2.inviteCode	Κωδικός πρόσκλησης συστήνοντος
addModal.step2.inviteCodePlaceholder	Προαιρετικό
addModal.step2.inviteCodeHint	Αν δοθεί, θα λάβετε και οι δύο μπόνους
addModal.step3.classCount	Συνδρομή
addModal.step3.classesUnit	μαθήματα
addModal.step3.classesCount_one	{{count}} μάθημα
addModal.step3.classesCount_other	{{count}} μαθήματα
addModal.step3.selected	Επιλεγμένο
addModal.step3.noPackage	Χωρίς συνδρομή
addModal.step3.noPackages	Αυτό το στούντιο δεν έχει ακόμη πακέτα συνδρομών
addModal.step3.noPackagesLink	Δημιουργία πακέτων στον Κατάλογο →
addModal.step3.alreadyPaid	Έχει ήδη πληρώσει ο πελάτης για αυτή τη συνδρομή;
addModal.step3.yes	Ναι
addModal.step3.no	Όχι
addModal.step3.note	Σημείωση
addModal.step3.notePlaceholder	Ειδικά αιτήματα, αντενδείξεις, προτιμήσεις…
addModal.step4.readyTitle	Τα στοιχεία συμπληρώθηκαν!
addModal.step4.readySub	Ελέγξτε τα στοιχεία και επιβεβαιώστε την προσθήκη
addModal.step4.newClient	Νέος πελάτης
addModal.step4.fields.phone	Τηλέφωνο
addModal.step4.fields.email	Email
addModal.step4.fields.bday	Ημερομηνία γέννησης
addModal.step4.fields.city	Πόλη
addModal.step4.fields.subscription	Συνδρομή
addModal.step4.fields.tags	Ετικέτες
addModal.step4.subscriptionValue_one	{{count}} μάθημα
addModal.step4.subscriptionValue_other	{{count}} μαθήματα
addModal.step4.smsTitle	Αποστολή SMS καλωσορίσματος
addModal.step4.smsSub	Ο πελάτης θα λάβει μήνυμα πρόσκλησης
addModal.errors.name	Εισαγάγετε όνομα (τουλάχιστον 2 χαρακτήρες)
addModal.errors.phone	Μη έγκυρος αριθμός τηλεφώνου
addModal.errors.email	Μη έγκυρο email
addModal.errors.city	Εισαγάγετε πόλη
deleteModal.title	Διαγραφή πελάτη;
deleteModal.body	Πρόκειται να διαγράψετε τον πελάτη
deleteModal.warning	Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
deleteModal.cancel	Ακύρωση
deleteModal.confirm	Διαγραφή
deleteModal.success	Ο πελάτης διαγράφηκε
