== tr
telegram.tokenLabel	Bot belirteci
agents.promptHint	Bu metin aracının kişiliğini belirler — nasıl iletişim kurduğu, ne bildiği ve hangi konulardan kaçındığı.
agents.promptPlaceholder	Nazik bir stüdyo asistanısınız...
agents.promptCount_one	{{count}} / 2000 karakter
agents.promptCount_other	{{count}} / 2000 karakter
agents.tgChannelInactive	Telegram kanalı Çevrimiçi rezervasyonda kapalı — bot mesaj almaz, bu nedenle aracı sessiz kalır.
errors.tg_token_required	Önce bir Telegram botu bağlayın — henüz belirteç kaydedilmedi.
errors.ig_not_connected	Instagram henüz bağlı değil.
errors.wa_not_connected	WhatsApp numarası henüz bağlı değil — Bildirimler’de bağlayın.
errors.assistant_unavailable	Asistan geçici olarak kullanılamıyor — daha sonra tekrar deneyin.
errors.trial_exhausted	AI asistanının 500 deneme isteğinin tamamını kullandınız. Devam etmek için ücretli plan seçin.
errors.quota_exceeded	Bu plandaki tüm AI isteklerini kullandınız. Limit ay başında sıfırlanır — veya planınızı yükseltin.
toasts.settingsSaved	Ayarlar kaydedildi
toolStatus.add_client_note	Not yazılıyor…
toolStatus.add_client_tag	Etiket ekleniyor…
toolStatus.add_loyalty_points	Puan ekleniyor…
toolStatus.book_client	Ders ayırtılıyor…
toolStatus.cancel_booking	Rezervasyon iptal ediliyor…
toolStatus.pay_booking	Ders ödemesi kaydediliyor…
toolStatus.clear_schedule	Program temizleniyor…
toolStatus.create_account	Hesap oluşturuluyor…
toolStatus.create_branch	Şube oluşturuluyor…
toolStatus.create_client	Müşteri oluşturuluyor…
toolStatus.create_counterparty	Karşı taraf oluşturuluyor…
toolStatus.create_hall	Salon oluşturuluyor…
toolStatus.create_lesson	Ders oluşturuluyor…
toolStatus.create_operation	İşlem kaydediliyor…
toolStatus.create_package	Paket oluşturuluyor…
toolStatus.create_promo	Promosyon kodu oluşturuluyor…
toolStatus.create_service	Hizmet oluşturuluyor…
toolStatus.create_staff	Ekip üyesi ekleniyor…
toolStatus.default	Çalışılıyor…
toolStatus.delete_client	Müşteri siliniyor…
toolStatus.delete_staff	Ekip üyesi kaldırılıyor…
toolStatus.fill_schedule	Program dolduruluyor…
toolStatus.find_clients	Müşteriler aranıyor…
toolStatus.forget_fact	Bilgi unutuluyor…
toolStatus.freeze_client	Müşteri donduruluyor…
toolStatus.get_booking_settings	Rezervasyon kuralları denetleniyor…
toolStatus.get_catalog_settings	Paket ayarları denetleniyor…
toolStatus.get_client	Müşteri kartı açılıyor…
toolStatus.get_client_events	Müşteri geçmişi okunuyor…
toolStatus.get_inactive_clients	Etkin olmayan müşteriler aranıyor…
toolStatus.get_client_notes	Müşteri notları okunuyor…
toolStatus.get_client_subscription	Müşteri paketi denetleniyor…
toolStatus.get_delivery_log	Teslimat günlüğü denetleniyor…
toolStatus.get_finance_goals	Finansal hedefler denetleniyor…
toolStatus.get_finance_summary	Finanslar denetleniyor…
toolStatus.get_lesson	Ders açılıyor…
toolStatus.get_loyalty_programs	Sadakat programları denetleniyor…
toolStatus.get_loyalty_summary	Sadakat denetleniyor…
toolStatus.get_notification_matrix	Bildirimler denetleniyor…
toolStatus.get_payroll	Bordro hesaplanıyor…
toolStatus.get_rooms	Salonlar denetleniyor…
toolStatus.get_schedule	Program denetleniyor…
toolStatus.get_segments	Müşteri segmentleri denetleniyor…
toolStatus.get_services	Hizmetler denetleniyor…
toolStatus.get_staff	Ekip denetleniyor…
toolStatus.get_staff_profile	Ekip üyesi kartı açılıyor…
toolStatus.get_stats	Sayılar işleniyor…
toolStatus.get_team_report	Eğitmene göre geri dönüş ölçülüyor…
toolStatus.get_studio_facts	Stüdyo hakkında bildiklerim anımsanıyor…
toolStatus.get_today_agenda	Bugün denetleniyor…
toolStatus.issue_certificate	Sertifika düzenleniyor…
toolStatus.list_operations	Gelir ve giderler denetleniyor…
toolStatus.open_ui	Ekran açılıyor…
toolStatus.remember_fact	Hatırlanıyor…
toolStatus.remove_client_tag	Etiket kaldırılıyor…
toolStatus.sell_subscription	Paket satılıyor…
toolStatus.set_client_discount	İndirim ayarlanıyor…
toolStatus.set_staff_day	Gün programda işaretleniyor…
toolStatus.set_staff_schedule	Program ayarlanıyor…
toolStatus.toggle_notification_event	Bildirim değiştiriliyor…
toolStatus.ui_section	Bölümün nasıl çalıştığı denetleniyor…
toolStatus.update_booking_rules	Rezervasyon kuralları güncelleniyor…
toolStatus.update_client	Müşteri bilgileri güncelleniyor…
toolStatus.update_lesson	Ders güncelleniyor…
toolStatus.update_service	Hizmet güncelleniyor…
toolStatus.update_staff	Ekip üyesi güncelleniyor…
quota.trialLow	Az sayıda deneme isteği kaldı.
quota.label	AI asistanı istekleri
quota.value	{{used}} / {{limit}}
quota.low	Aylık sınıra yaklaştınız.
quota.upgrade	Plan seçin
quota.monthPeriod	Takvim ayı başına (UTC)
quota.trialPeriod	Tüm deneme süresi için
rating.up	İyi yanıt
rating.down	Kötü yanıt
memory.title	Asistan hatırlıyor
memory.forget	Unut
memory.forgetConfirmTitle	Bu bilgi unutulsun mu?
memory.forgetConfirmMessage	Asistan bunu yanıtlarda kullanmayı bırakır.
memory.deleted	Bilgi kaldırıldı
plan.pages.who	Kim ve ne
plan.pages.when	Ne zaman
plan.pages.check	Gözden geçir
plan.stepOf	{{current}} / {{total}}. adım
plan.next	İleri
plan.back	Geri
plan.confirm	Onayla
plan.confirmDanger	Onayla
plan.choose	Seç
plan.nothingFound	Hiçbir şey bulunamadı
plan.nothingToFill	Burada doldurulacak bir şey yok — doğrudan devam edin.
plan.fromStep	{{n}}. adımda oluşturuldu
plan.values.group	grup
plan.values.individual	bireysel
plan.values.trainer	eğitmen
plan.values.admin	yönetici
plan.values.owner	sahip
plan.values.hourly	saatlik
plan.values.percent	gelirin %’si
plan.values.fixed	ders başına
plan.title_one	Onayla — {{count}} işlem
plan.title_other	Onayla — {{count}} işlem
plan.stillEmpty_one	{{count}} alan kaldı
plan.stillEmpty_other	{{count}} alan kaldı
