== pt
nav.sectionLabel	Definições do sistema
integrations.fields.instagramToken	Token de acesso
integrations.fields.instagramTokenPh	IGQWR...
integrations.fields.instagramUserId	ID da conta empresarial do Instagram
integrations.fields.instagramUserIdPh	17841400000000000
integrations.guide.howToTitle	Como ligar
integrations.guide.telegram.steps.0	Abra o @BotFather no Telegram e envie /newbot
integrations.guide.telegram.steps.1	Escolha um nome e nome de utilizador para o bot — o BotFather envia-lhe um token de API
integrations.guide.telegram.steps.2	Cole o token abaixo e clique em Ligar
integrations.guide.whatsapp.steps.0	Crie uma aplicação no Meta for Developers e adicione o produto WhatsApp
integrations.guide.whatsapp.steps.1	No API Setup, copie o token de acesso temporário ou permanente
integrations.guide.whatsapp.steps.2	Copie também o ID do número de telefone do número de teste ou verificado
integrations.guide.whatsapp.steps.3	Cole ambos os valores abaixo e clique em Ligar
integrations.guide.instagram.steps.0	Ligue a conta Instagram do estúdio a uma Página do Facebook — necessário para a Direct API
integrations.guide.instagram.steps.1	Crie uma aplicação no Meta for Developers com o produto Instagram Graph API
integrations.guide.instagram.steps.2	Gere um token de acesso com as permissões instagram_basic e instagram_manage_messages
integrations.guide.instagram.steps.3	Copie o ID da conta empresarial do Instagram e o token e cole-os abaixo
integrations.guide.instagram.steps.4	Sem aprovação da Meta, a ligação funciona apenas para contas de teste da aplicação
integrations.guide.google_calendar.steps.0	Clique em Ligar — será aberta uma janela de início de sessão Google
integrations.guide.google_calendar.steps.1	Escolha a conta à qual o calendário do estúdio está ligado
integrations.guide.google_calendar.steps.2	Conceda acesso ao calendário — as aulas começarão a aparecer nele automaticamente
integrations.capabilities.notify	notificações a clientes neste canal
integrations.capabilities.booking	reservas online através deste canal
integrations.capabilities.dm_agent	agente de IA para respostas automáticas no Direct
integrations.capabilities.schedule_sync	sincronização da agenda com Google Calendar
integrations.disconnect.title	Desligar {{name}}?
integrations.disconnect.willStop	Isto deixará de funcionar:
integrations.disconnect.checkbox	Compreendo as consequências
integrations.disconnect.cancel	Cancelar
integrations.disconnect.confirm	Desligar
integrations.google.connected	Google Calendar ligado
integrations.google.denied	O acesso ao Google Calendar não foi concedido
integrations.google.error	Não foi possível ligar ao Google Calendar
integrations.google.primary	principal
integrations.google.calendar	Calendário
integrations.google.selectCalendar	Selecione um calendário
integrations.google.loadingCalendars	A carregar calendários…
integrations.google.syncMode	Modo de sincronização
integrations.google.syncModeOptions.push	Apenas do CRM para o Google
integrations.google.syncModeOptions.two_way	Bidirecional
integrations.google.syncNow	Sincronizar agora
integrations.google.lastSync	Última sincronização: {{date}}
integrations.google.neverSynced	Ainda não sincronizado
integrations.google.timezoneWarning	O fuso horário do estúdio não está definido — os eventos são enviados em UTC e podem divergir das horas reais das aulas. Defina o fuso horário em Geral.
integrations.google.syncResult	Sincronizado: {{pushed}} enviados, {{pulled}} recebidos
integrations.google.settingsSaved	Definições do Google Calendar guardadas
integrations.toast.connected	Integração ligada
integrations.toast.disconnected	Integração desligada
data.export.title	Exportar relatórios e listas
data.export.subtitle	Transfira ficheiros em formatos de tabela para contabilidade e análise
data.export.clearFilter	Limpar período
data.export.items.clients.name	Lista de clientes
data.export.items.schedule.name	Histórico do diário e das reservas
data.export.items.finances.name	Relatório financeiro
data.export.items.subscriptions.name	Subscrições de clientes
data.export.rows_one	{{count}} registo
data.export.rows_other	{{count}} registos
data.export.loading	A carregar...
data.export.empty	sem dados para este período
