== sq
tabs.overview	Përmbledhje
descriptions.overview.metric.new_clients	Klientët e regjistruar gjatë kësaj periudhe
descriptions.overview.metric.fill_rate	Sa të mbushura janë seancat: vende të rezervuara nga vendet e disponueshme
descriptions.overview.revenueStructure	Nga përbëhen të ardhurat tuaja këtë periudhë
descriptions.overview.clientDynamics	Sa erdhën për herë të parë, sa u kthyen dhe sa ndaluan së ardhuri
descriptions.sales.chart	Të ardhura dhe numër blerjesh sipas ditës
descriptions.sales.byCategory	Pjesa e secilit produkt në të ardhura
descriptions.sales.byMethod	Si ndahen të ardhurat sipas metodës së pagesës
descriptions.sales.buyerType	Sa të ardhura vijnë nga klientë të rinj krahasuar me të rregulltit
descriptions.sales.products	Çdo produkt: sa u shit, për sa dhe nëse po rritet
descriptions.clients.chart	Sa klientë erdhën për herë të parë dhe sa u kthyen, sipas javës
descriptions.clients.riskSegments	Klientët që mund të humbni nëse nuk i kontaktoni tani
descriptions.clients.loyalSegments	Ata që vizitojnë më shpesh, shpenzojnë më shumë dhe sjellin miq
descriptions.team.trainers	Krahasim sipas ngarkesës, të ardhurave dhe normës së kthimit të klientëve
descriptions.team.loadWeekday	Cilat ditë të javës trajneri është i zënë dhe kur është i lirë
descriptions.team.loadHour	Në ç'orë mbushen seancat e tij dhe kur mbeten bosh
descriptions.team.schedule	Të gjitha seancat e trajnerit në periudhën e zgjedhur
descriptions.schedule.heatmap	Ku orari është i tejmbushur dhe ku është bosh
descriptions.schedule.topProfitable	Kohët e orarit tuaj që sjellin më shumë para
descriptions.schedule.topFilled	Kohët që klientët rezervojnë më me dëshirë
descriptions.schedule.chronicLow	Orë që për javë kanë mbushur më pak se një të tretën e vendeve
descriptions.schedule.halls	Sa kohë {{spacePlural}} tuaja përdoren realisht
descriptions.schedule.losses	Ku studioja humb vende: seanca të anuluara ose klientë që nuk paraqiten
formulas.salesCount.title	Shitje
formulas.salesCount.text	Sa herë klientët ju paguan këtë periudhë. Nëse një person paguan më shumë se një herë, llogaritet si shitje më vete.
formulas.revenue.title	Të ardhura
formulas.revenue.text	Të gjitha paratë që hynë në studio këtë periudhë, sipas datës së pagesës. Paketa, seanca të veçanta, karta dhuratë dhe shitje me pakicë — të gjitha bashkë.
formulas.profit.title	Fitim
formulas.profit.text	Ajo që mbetet pas shpenzimeve të kësaj periudhe: qira, paga, furnizime. Kjo është fitimi juaj real.
formulas.attendance.title	Pjesëmarrje
formulas.attendance.text	Sa vizita bënë realisht klientët. Numërohen vetëm seancat e shënuara si të ndjekura.
formulas.bookings.title	Rezervime
formulas.bookings.text	Sa rezervime bënë klientët për seanca. Rezervimet e anuluara nuk numërohen.
formulas.noshow.title	Mungesë
formulas.noshow.text	Klienti rezervoi, seanca u zhvillua dhe ai nuk erdhi. Secila mungesë është një vend që mund ta kishte zënë dikush tjetër.
formulas.activeClients.title	Klientë aktivë
formulas.activeClients.text	Sa persona të ndryshëm erdhën të paktën një herë këtë periudhë. Çdo klient numërohet një herë, pavarësisht sa vizita ka bërë.
formulas.occupancy.title	Zënia
formulas.occupancy.text	Sa të mbushura janë seancat: vende të zëna nga ato të planifikuara. 100% do të thotë se nuk ka më vende.
formulas.avgCheck.title	Shuma mesatare
formulas.avgCheck.text	Sa sjell mesatarisht një pagesë. Rritet kur klientët blejnë paketa më të gjata ose shtesa.
formulas.retention.title	Mbajtje
formulas.retention.text	Sa klientë të periudhës së kaluar u kthyen këtë periudhë. Tregon nëse po mbani klientët apo filloni nga zero çdo muaj.
formulas.newClients.title	Klientë të rinj
formulas.newClients.text	Persona që u shfaqën për herë të parë në bazën tuaj të klientëve këtë periudhë.
formulas.returning.title	Të rikthyer
formulas.returning.text	Klientë që kishin vizituar më parë dhe u kthyen përsëri këtë periudhë.
formulas.lost.title	Të humbur
formulas.lost.text	Vizituan periudhën e kaluar dhe nuk u shfaqën asnjë herë këtë periudhë. Ende ia vlen t'i kontaktoni.
formulas.clientValue.title	Vlera e klientit
formulas.clientValue.text	Sa sjell mesatarisht një klient këtë periudhë.
formulas.repeatPurchaseShare.title	Pjesa e blerjeve të përsëritura
formulas.repeatPurchaseShare.text	Pjesa e klientëve që blenë prej jush më shumë se një herë. Sa më e lartë të jetë, aq më i fortë është zakoni për t'u kthyer te ju.
formulas.renewalRate.title	Norma e rinovimit
formulas.renewalRate.text	Sa klientë blenë një paketë të re pasi u mbaroi e mëparshmja.
formulas.revenuePerHour.title	Të ardhura për orë (trajner)
formulas.revenuePerHour.text	Sa para sjell një orë punë e trajnerit. Ju lejon të krahasoni trajnerët drejt — njëri mund të mbajë më pak seanca, por secila sjell më shumë.
formulas.trainerReturnRate.title	Norma e kthimit (trajner)
formulas.trainerReturnRate.text	Pjesa e klientëve të trajnerit që rezervuan përsëri me të.
formulas.missedRevenue.title	Të ardhura të humbura
formulas.missedRevenue.text	Paratë që studioja nuk i fitoi për shkak të vendeve bosh në seancat e kaluara: vende të lira shumëzuar me çmimin e seancës.
formulas.losses.title	Anulime dhe mungesa
formulas.losses.text	Një „anulim” është një seancë e anuluar; një „mungesë” është klienti që rezervoi por nuk erdhi. Ndarjet sipas orës/shërbimit/trajnerit përdorin të njëjtët filtra si skeda dhe përputhen me treguesit kryesorë në krye.
formulas.lessonRevenue.title	Të ardhura nga seanca
formulas.lessonRevenue.text	Vlerësim i përafërt i të ardhurave të seancës: pjesëmarrësit shumëzuar me çmimin. Pagesat nuk lidhen me një seancë të caktuar, prandaj ky është përafrim, jo shifër e saktë.
formulas.filtersScope.title	Fusha e filtrave
formulas.filtersScope.text	Filtrat Dega dhe {{space}} zbatohen vetëm te treguesit e seancave. Pagesat nuk kanë lidhje të tillë, prandaj paratë shfaqen për gjithë studion.
formulas.avgValue.title	Vlera e klientit
formulas.avgValue.text	Sa sjell mesatarisht një klient këtë periudhë.
formulas.cancelNoshow.title	Anulime dhe mungesa
formulas.cancelNoshow.text	Pjesa e seancave të ndërprera: anulime dhe mungesa nga gjithçka e planifikuar.
formulas.avgRating.title	Vlerësimi mesatar
formulas.avgRating.text	Vlerësimi mesatar që klientët i dhanë seancave të këtij trajneri.
formulas.teamScope.title	Fusha e të dhënave
formulas.teamScope.text	Kjo numëron vetëm të ardhurat e lidhura me një trajner të caktuar, prandaj totali për të gjithë trajnerët mund të jetë më i ulët se të ardhura e përgjithshme e studios.
formulas.lessonsCount.title	Seanca
formulas.lessonsCount.text	Sa seanca mbajtën trajnerët këtë periudhë.
formulas.load.title	Ngarkesa
formulas.load.text	Sa e mbushur është dita e trajnerit: orët e rezervuara nga dritarja e punës së studios.
formulas.weeklyClients.title	Të rinj dhe të rikthyer
formulas.weeklyClients.text	Sipas javës: sa persona erdhën për herë të parë dhe sa u kthyen. Një studio e shëndetshme rritet në të dyja linjat.
formulas.byCategory.title	Të ardhura sipas kategorisë
formulas.byCategory.text	Nga çfarë fitoni realisht: paketa, seanca të veçanta, karta dhuratë, shitje me pakicë.
formulas.byMethod.title	Metodat e pagesës
formulas.byMethod.text	Si paguajnë klientët. Ju ndihmon të shihni nëse ju nevojitet pagesa me kartë dhe sa para anashkalojnë arkën.
formulas.buyerType.title	Kush paguan
formulas.buyerType.text	Klientë të rinj kundrejt të rregulltve. Nëse pothuajse të gjitha të ardhurat vijnë nga klientë të rinj, studioja nuk i mban njerëzit.
formulas.products.title	Çfarë shitet
formulas.products.text	Të gjitha paketat dhe shërbimet e periudhës: sa u shitën, për sa dhe nëse shitjet po rriten.
formulas.topProfitable.title	Oraret më fitimprurëse
formulas.topProfitable.text	Kohët e orarit që sjellin më shumë para. Vendosni trajnerët tuaj më të mirë aty.
formulas.topFilled.title	Oraret më të mbushura
formulas.topFilled.text	Kohët që klientët i rezervojnë më me dëshirë. Nëse janë plot, ia vlen të shtoni një seancë tjetër.
formulas.chronicLow.title	Oraret kronikisht bosh
formulas.chronicLow.text	Kohë që për disa javë kanë mbushur më pak se një të tretën e vendeve. Kandidatë për zhvendosje ose heqje.
formulas.hallUtil.title	Përdorimi: {{spacePlural}}
formulas.hallUtil.text	Sa kohë {{spacePlural}} tuaja përdoren realisht. Koha pa përdorim është qira që nuk shpërblehet.
formulas.heatmap.title	Ngarkesa sipas ditës dhe orës
formulas.heatmap.text	Ngjyra tregon normën mesatare të mbushjes së orarit për periudhën. Klikoni një qelizë për të parë seancat e asaj dite dhe ore.
formulas.riskSegments.title	Segmente rreziku
formulas.riskSegments.text	Klientë të grupuar sipas llojit të rrezikut që sjellin — humbjen e tyre ose të ardhurat që nuk po sjellin. Çdo kartë ka arsyen e vet dhe hapin e qartë vijues: dërgoni mesazh, ofroni rinovim ose paketë më të mirë.
formulas.loyalSegments.title	Besnikë
formulas.loyalSegments.text	Klientë që tashmë ju sjellin më shumë vlerë: vizitojnë më shpesh, shpenzojnë më shumë ose sjellin miq. Ia vlen t'i kujdesni dhe t'i shpërbleni.
formulas.segment.at_risk.title	Në prag largimi
formulas.segment.at_risk.text	Vizitonin rregullisht dhe tani janë zhdukur. Ende mund të rikthehen me një mesazh.
formulas.segment.vip_idle.title	VIP pa aktivitet
formulas.segment.vip_idle.text	Klientë që kanë shpenzuar më shumë se të gjithë, por nuk kanë vizituar kohët e fundit.
formulas.segment.expiring_subscription.title	Abonimi po përfundon
formulas.segment.expiring_subscription.text	Këtyre klientëve u kanë mbetur 1–2 seanca. Momenti më i mirë për të ofruar rinovim.
formulas.segment.lost_newcomers.title	Të rinj që nuk u kthyen
formulas.segment.lost_newcomers.text	Erdhën një herë dhe u zhdukën. Zakonisht lidhet me seancën e parë — ia vlen të hetohet.
formulas.segment.upsell_candidates.title	Gati për më shumë
formulas.segment.upsell_candidates.text	Vizitojnë shpesh, por blejnë paketën më të thjeshtë. Ia vlen t'u ofrohet abonim më i shtrenjtë.
formulas.segment.frequent.title	Të rregullt
formulas.segment.frequent.text	Vizitojnë më shpesh se kushdo tjetër. Shtylla kurrizore e të ardhurave të studios.
formulas.segment.high_ltv.title	Më të vlefshmit
formulas.segment.high_ltv.text	I kanë sjellë studios më shumë para se kushdo tjetër, në total.
formulas.segment.referrers.title	Sjellin miq
formulas.segment.referrers.text	Klientë, rekomandimet e të cilëve kanë sjellë njerëz të tjerë te ju.
