== bg
telegram.tokenLabel	Токен на бота
errors.tg_token_required	Първо свържете Telegram бот — все още няма запазен токен.
errors.ig_not_connected	Instagram все още не е свързан.
errors.wa_not_connected	Номерът в WhatsApp все още не е свързан — свържете го в Известия.
errors.assistant_unavailable	Асистентът временно не е наличен — опитайте по-късно.
errors.trial_exhausted	Използвахте всички 500 пробни заявки за AI асистента. Изберете платен план, за да продължите.
errors.quota_exceeded	Използвахте всички AI заявки по този план. Лимитът се нулира в началото на месеца — или надградете плана си.
toasts.settingsSaved	Настройките са запазени
toolStatus.add_client_note	Добавяме бележка…
toolStatus.add_client_tag	Добавяме етикет…
toolStatus.add_loyalty_points	Добавяме точки…
toolStatus.book_client	Записваме за занятие…
toolStatus.cancel_booking	Отменяме резервацията…
toolStatus.pay_booking	Отбелязваме плащането за занятието…
toolStatus.clear_schedule	Изчистваме графика…
toolStatus.create_account	Създаваме акаунт…
toolStatus.create_branch	Създаваме филиал…
toolStatus.create_client	Създаваме клиент…
toolStatus.create_counterparty	Създаваме контрагент…
toolStatus.create_hall	Създаваме зала…
toolStatus.create_lesson	Създаваме занятие…
toolStatus.create_operation	Отбелязваме операцията…
toolStatus.create_package	Създаваме пакет…
toolStatus.create_promo	Създаваме промокод…
toolStatus.create_service	Създаваме услуга…
toolStatus.create_staff	Добавяме член на екипа…
toolStatus.default	Работим…
toolStatus.delete_client	Изтриваме клиента…
toolStatus.delete_staff	Премахваме член на екипа…
toolStatus.fill_schedule	Попълваме графика…
toolStatus.find_clients	Търсим клиенти…
toolStatus.forget_fact	Забравяме факта…
toolStatus.freeze_client	Замразяваме клиента…
toolStatus.get_booking_settings	Проверяваме правилата за записване…
toolStatus.get_catalog_settings	Проверяваме настройките на пакетите…
toolStatus.get_client	Отваряме картата на клиента…
toolStatus.get_client_events	Четем историята на клиента…
toolStatus.get_inactive_clients	Търсим неактивни клиенти…
toolStatus.get_client_notes	Четем бележките за клиента…
toolStatus.get_client_subscription	Проверяваме пакета на клиента…
toolStatus.get_delivery_log	Проверяваме дневника за доставки…
toolStatus.get_finance_goals	Проверяваме финансовите цели…
toolStatus.get_finance_summary	Проверяваме финансите…
toolStatus.get_lesson	Отваряме занятието…
toolStatus.get_loyalty_programs	Проверяваме програмите за лоялност…
toolStatus.get_loyalty_summary	Проверяваме лоялността…
toolStatus.get_notification_matrix	Проверяваме известията…
toolStatus.get_payroll	Изчисляваме заплатите…
toolStatus.get_rooms	Проверяваме залите…
toolStatus.get_schedule	Проверяваме графика…
toolStatus.get_segments	Проверяваме сегментите клиенти…
toolStatus.get_services	Проверяваме услугите…
toolStatus.get_staff	Проверяваме екипа…
toolStatus.get_staff_profile	Отваряме картата на член от екипа…
toolStatus.get_stats	Обработваме числата…
toolStatus.get_team_report	Измерваме завръщането по треньор…
toolStatus.get_studio_facts	Припомняме какво знаем за студиото…
toolStatus.get_today_agenda	Проверяваме днес…
toolStatus.issue_certificate	Издаваме сертификата…
toolStatus.list_operations	Проверяваме приходите и разходите…
toolStatus.open_ui	Отваряме екрана…
toolStatus.remember_fact	Запомняме…
toolStatus.remove_client_tag	Премахваме етикета…
toolStatus.sell_subscription	Продаваме пакета…
toolStatus.set_client_discount	Задаваме отстъпката…
toolStatus.set_staff_day	Отбелязваме деня в графика…
toolStatus.set_staff_schedule	Задаваме графика…
toolStatus.toggle_notification_event	Превключваме известието…
toolStatus.ui_section	Проверяваме как работи разделът…
toolStatus.update_booking_rules	Обновяваме правилата за записване…
toolStatus.update_client	Обновяваме данните на клиента…
toolStatus.update_lesson	Обновяваме занятието…
toolStatus.update_service	Обновяваме услугата…
toolStatus.update_staff	Обновяваме член на екипа…
quota.trialLow	Остават малко пробни заявки.
quota.label	Заявки към AI асистента
quota.value	{{used}} от {{limit}}
quota.low	Близо сте до месечния лимит.
quota.upgrade	Изберете план
quota.monthPeriod	За календарен месец (UTC)
quota.trialPeriod	За целия пробен период
rating.up	Добър отговор
rating.down	Лош отговор
memory.title	Асистентът помни
memory.forget	Забравете
memory.forgetConfirmTitle	Да забравим ли този факт?
memory.forgetConfirmMessage	Асистентът ще спре да го използва в отговорите.
memory.deleted	Фактът е премахнат
plan.pages.who	Кой и какво
plan.pages.when	Кога
plan.pages.check	Преглед
plan.stepOf	Стъпка {{current}} от {{total}}
plan.next	Напред
plan.back	Назад
plan.confirm	Одобрете
plan.confirmDanger	Одобрете
plan.choose	Изберете
plan.nothingFound	Нищо не е намерено
plan.nothingToFill	Тук няма нищо за попълване — продължете направо.
plan.fromStep	създадено в стъпка {{n}}
plan.values.group	група
plan.values.individual	индивидуално
plan.values.trainer	треньор
plan.values.admin	администратор
plan.values.owner	собственик
plan.values.hourly	на час
plan.values.percent	% от приходите
plan.values.fixed	на занятие
plan.title_one	Потвърдете — {{count}} действие
plan.title_other	Потвърдете — {{count}} действия
plan.stillEmpty_one	Остава {{count}} поле
plan.stillEmpty_other	Остават {{count}} полета
