== tr
loading	Yükleniyor…
wa.paymentRequiredTitle	Kart gerekli olacak
wa.paymentRequired	Numarayı bağlamak ücretsizdir, ancak Meta müşteri hatırlatıcılarını yalnızca kart eklendikten sonra teslim eder. Kartı ayrı olarak eklersiniz —
wa.paymentMissingTitle	Ödeme yöntemi yok
wa.paymentMissing	Şu anda yalnızca botun gelen mesajlara verdiği yanıtlar çalışır. Kart eklenene kadar Meta hatırlatıcıları, onayları ve toplu gönderileri reddeder —
wa.paymentOkTitle	Ödeme bağlandı
wa.paymentOk	bildirimler eksiksiz teslim edilir.
wa.paymentUnknown	Meta ile ödeme yöntemini kontrol edemedik — durumu sonraki denemede göstereceğiz.
wa.paymentLink	Meta faturalandırma merkezi
wa.paymentRecheck	Yeniden kontrol et
wa.paymentFound	Ödeme bağlandı
wa.verify.title	İşletme Meta'da doğrulanmadı
wa.verify.lead	Numara çalışır, ancak günlük 250 benzersiz alıcı sınırıyla. Doğrulama sınırı kaldırır ve tam kullanımı açar. Stüdyo bunu kendi yapmalıdır — WhatsApp hesabı size aittir ve Velora sizin adınıza işlem yapamaz.
wa.verify.stepsTitle	İşletme nasıl doğrulanır:
wa.verify.step1a	Şunu açın:
wa.verify.link	Meta Business Security Center
wa.verify.step1b	ve “Doğrulamayı başlat”ı tıklayın. İşletme hesabında yönetici yetkisine ihtiyacınız var.
wa.verify.step2	Yasal bilgileri doldurun: belgelerdeki adın aynısı, adres, telefon ve web sitesi. Site çalışıyor olmalı ve HTTPS kullanmalıdır.
wa.verify.step3	İşletme kayıt belgesini yükleyin ve Meta'nın incelemesini bekleyin.
wa.verify.step4	İşletmeyle bağlantınızı onaylayın: site alan adında e-posta, listelenen telefona çağrı veya SMS ya da alan adı doğrulaması.
wa.verify.step5	Kararı bekleyin — genellikle 1–5 iş günü. Durum aynı Güvenlik Merkezindedir; reddedilirse Meta nedeni belirtir ve yeniden başvuruya izin verir.
wa.verify.docsTitle	Kabul edilen belgeler (her gruptan bir adet):
wa.verify.doc1	Kayıt: kuruluş belgesi, sicil kaydı, işletme ruhsatı veya vergi belgesi.
wa.verify.doc2	Varlık kanıtı: çalışan bir web sitesi, resmi sosyal medya sayfası veya işletme dizini kaydı.
wa.verify.pitfallTitle	En yaygın ret nedeni
wa.verify.pitfall	Meta'daki işletme adı ile belgedeki ad, yasal biçim ve noktalama dâhil karakter karakter eşleşmelidir. “Romashka LLC” ve “Romashka, LLC” farklı ad sayılır.
wa.templatesTitle	Mesaj şablonları
wa.templates	Meta, önceden onaylanmış şablon olmadan müşteriye ilk mesajı göndermenize izin vermez. Her etkinlik için şablon oluşturun — incelemeye gider ve onaylanınca çalışmaya başlar.
wa.templatesAction	Şablonları hazırla
wa.templatesPending	Şablonlar oluşturuluyor…
wa.templatesDone_one	Şablonlar hazır: {{count}}. Meta incelemesi bekleniyor
wa.templatesDone_other	Şablonlar hazır: {{count}}. Meta incelemesi bekleniyor
wa.templatesPartial	Meta bazı şablonları reddetti: {{failed}}. Ayrıntılar için günlükleri inceleyin
wa.templatesRejectedTitle_one	Meta {{count}} şablonu reddetti
wa.templatesRejectedTitle_other	Meta {{count}} şablonu reddetti
wa.templatesRejected	— bu bildirimler teslim edilmiyor. Meta hesabınızdaki metni kontrol edin ve şablonları yeniden oluşturun.
wa.templatesPendingTitle_one	{{count}} şablon incelemede
wa.templatesPendingTitle_other	{{count}} şablon incelemede
wa.templatesPendingHint	— Meta'nın incelemesi bir güne kadar sürebilir. {{approved}} zaten onaylandı ve teslim ediliyor.
wa.templatesOkTitle	Şablonlar onaylandı
wa.templatesOk_one	{{count}} şablon Meta incelemesini geçti — bildirimler teslim ediliyor.
wa.templatesOk_other	{{count}} şablon Meta incelemesini geçti — bildirimler teslim ediliyor.
wa.paidWarning	WhatsApp mesajları ücretlidir
wa.approxPrice	yakl.
wa.pricingLoading	Güncel fiyat yükleniyor…
wa.perMessage	mesaj başına
wa.viaMeta	Meta tarafından doğrudan faturalandırılır
wa.windowNotice	Teslimat yalnızca 24 saatlik konuşma penceresinde garanti edilir.
wa.connect	WhatsApp'ı bağla
wa.disconnect	Bağlantıyı kes
wa.disconnectTitle	WhatsApp bağlantısı kesilsin mi?
wa.disconnectMessage	Müşteriler ve personel bu kanal üzerinden bildirim almayı bırakacak.
wa.close	Kapat
wa.cancel	İptal
tabs.matrix	Ayarlar
tabs.log	Teslimat günlüğü
log.title	Teslimat günlüğü
log.subtitle	Ne gönderildiği, kime ve ne zaman gittiği, ayrıca her gönderimin nasıl sonuçlandığı.
log.status.sent	Teslim edildi
log.status.rejected	Reddedildi
log.status.error	Bağlantı hatası
log.status.pending	Sürüyor
log.searchPlaceholder	Telefon, e-posta veya olay kodu
log.allChannels	Tüm kanallar
log.reset	Sıfırla
log.refreshing	Yenileniyor…
log.otherEvent	Katalog dışına gönder
log.empty	Henüz hiçbir şey gönderilmedi
log.emptyHint	Stüdyonun müşterilere ve personele gönderdiği her bildirim burada görünür.
log.emptyFiltered	Hiçbir şey bulunamadı
log.emptyFilteredHint	Filtreleri değiştirmeyi veya farklı numara aramayı deneyin.
log.loadError	Günlük yüklenemedi
log.loadErrorHint	Sayfayı yenileyin — yardımcı olmazsa destek ekibiyle iletişime geçin.
log.range	{{from}}–{{to}} / {{total}}
log.prev	Geri
log.next	Sonraki
