== sq
nav.sectionLabel	Cilësimet e sistemit
integrations.items.telegram.name	Bot Telegram
integrations.items.telegram.sub	Njoftimet e klientëve dhe rezervimet përmes botit
integrations.items.whatsapp.name	WhatsApp Business
integrations.items.whatsapp.sub	Dërgime masive mesazhesh dhe njoftime automatike për klientët
integrations.items.instagram.name	Instagram Direct
integrations.items.instagram.sub	Agjent AI për përgjigje automatike dhe rezervim online
integrations.items.google_calendar.name	Google Calendar
integrations.items.google_calendar.sub	Sinkronizimi i orarit të studios
integrations.status.connected	I lidhur
integrations.status.notActive	I palidhur
integrations.actions.configure	Konfiguro
integrations.actions.connect	Lidhu
integrations.actions.disconnect	Shkëput
integrations.fields.keyLabel	Çelësi
integrations.fields.connectedAtLabel	I lidhur
integrations.fields.telegramToken	Tokeni API i botit (nga @BotFather)
integrations.fields.telegramTokenPh	123456789:ABCDefGhIJKlmNoPQRsTUVwxyZ
integrations.fields.whatsappToken	Tokeni i qasjes
integrations.fields.whatsappTokenPh	EAAxxxxxxxxxxxxx
integrations.fields.whatsappPhoneId	ID e numrit të telefonit
integrations.fields.whatsappPhoneIdPh	1029384756
integrations.fields.whatsappWabaId	ID WABA (opsionale)
integrations.fields.whatsappWabaIdPh	1029384756
integrations.fields.instagramToken	Tokeni i qasjes
integrations.fields.instagramTokenPh	IGQWR...
integrations.fields.instagramUserId	ID e llogarisë së biznesit në Instagram
integrations.fields.instagramUserIdPh	17841400000000000
integrations.guide.howToTitle	Si të lidheni
integrations.guide.telegram.steps.0	Hapni @BotFather në Telegram dhe dërgoni /newbot
integrations.guide.telegram.steps.1	Zgjidhni emrin dhe emrin e përdoruesit për botin — BotFather do t’ju dërgojë një token API
integrations.guide.telegram.steps.2	Ngjiteni tokenin më poshtë dhe klikoni Lidhu
integrations.guide.whatsapp.steps.0	Krijoni një aplikacion në Meta for Developers dhe shtoni produktin WhatsApp
integrations.guide.whatsapp.steps.1	Te API Setup, kopjoni tokenin e përkohshëm ose të përhershëm të qasjes
integrations.guide.whatsapp.steps.2	Kopjoni gjithashtu ID e numrit të telefonit të numrit testues ose të verifikuar
integrations.guide.whatsapp.steps.3	Ngjitini të dy vlerat më poshtë dhe klikoni Lidhu
integrations.guide.instagram.steps.0	Lidhni llogarinë Instagram të studios me një Facebook Page — kërkohet për API-n Direct
integrations.guide.instagram.steps.1	Krijoni një aplikacion në Meta for Developers me produktin Instagram Graph API
integrations.guide.instagram.steps.2	Gjeneroni një token qasjeje me lejet instagram_basic dhe instagram_manage_messages
integrations.guide.instagram.steps.3	Kopjoni ID e llogarisë së biznesit në Instagram dhe tokenin, pastaj ngjitini më poshtë
integrations.guide.instagram.steps.4	Pa kaluar shqyrtimin e Meta-s, lidhja funksionon vetëm për llogaritë e testimit të aplikacionit
integrations.guide.google_calendar.steps.0	Klikoni Lidhu — do të hapet dritarja e hyrjes në Google
integrations.guide.google_calendar.steps.1	Zgjidhni llogarinë me të cilën lidhet kalendari i studios
integrations.guide.google_calendar.steps.2	Jepni qasje te kalendari — orët do të fillojnë të shfaqen automatikisht në të
integrations.capabilities.notify	njoftimet e klientëve në këtë kanal
integrations.capabilities.booking	rezervim online përmes këtij kanali
integrations.capabilities.dm_agent	agjent AI për përgjigje automatike në Direct
integrations.capabilities.schedule_sync	sinkronizimi i orarit me Google Calendar
integrations.disconnect.title	Të shkëputet {{name}}?
integrations.disconnect.willStop	Kjo do të ndalojë së funksionuari:
integrations.disconnect.checkbox	I kuptoj pasojat
integrations.disconnect.cancel	Anulo
integrations.disconnect.confirm	Shkëput
integrations.google.connected	Google Calendar u lidh
integrations.google.denied	Qasja në Google Calendar nuk u dha
integrations.google.error	Lidhja me Google Calendar dështoi
integrations.google.primary	kryesor
integrations.google.calendar	Kalendari
integrations.google.selectCalendar	Zgjidhni një kalendar
integrations.google.loadingCalendars	Po ngarkohen kalendarët…
integrations.google.syncMode	Mënyra e sinkronizimit
integrations.google.syncModeOptions.push	Vetëm CRM në Google
integrations.google.syncModeOptions.two_way	Në të dy drejtimet
integrations.google.syncNow	Sinkronizo tani
integrations.google.lastSync	Sinkronizimi i fundit: {{date}}
integrations.google.neverSynced	Ende nuk është sinkronizuar
integrations.google.timezoneWarning	Zona kohore e studios nuk është caktuar — ngjarjet dërgohen në UTC dhe mund të devijojnë nga orët reale të termineve. Caktojeni zonën kohore te Të përgjithshme.
integrations.google.syncResult	U sinkronizua: {{pushed}} të dërguara, {{pulled}} të marra
integrations.google.settingsSaved	Cilësimet e Google Calendar u ruajtën
integrations.toast.connected	Integrimi u lidh
integrations.toast.disconnected	Integrimi u shkëput
data.export.title	Eksporto raportet dhe listat
data.export.subtitle	Shkarko skedarë në formate tabelare për kontabilitet dhe analizë
data.export.clearFilter	Pastro periudhën
data.export.items.clients.name	Lista e klientëve
data.export.items.schedule.name	Historiku i ditarit dhe rezervimeve
data.export.items.finances.name	Raport financiar
data.export.items.subscriptions.name	Abonimet e klientëve
data.export.rows_one	{{count}} regjistrim
data.export.rows_other	{{count}} regjistrime
data.export.loading	Po ngarkohet...
data.export.empty	pa të dhëna për këtë periudhë
