== no
loading	Laster…
emailCh.invalidEmail	Skriv inn en gyldig e-postadresse
emailCh.sendCode	Send kode
emailCh.codeSentTo	Kode sendt til
emailCh.codeHint	Skriv inn den 6-sifrede koden fra e-posten.
emailCh.codeLabel	Bekreftelseskode
emailCh.resend	Send koden på nytt
emailCh.viaVelora	E-poster sendes via Velora-serveren på dine vegne.
emailCh.wrongCode	Ugyldig eller utløpt kode
emailCh.verify	Bekreft
emailCh.back	Tilbake
emailCh.cancel	Avbryt
wa.title	WhatsApp
wa.subtitleConnected	Kanalen er tilkoblet
wa.subtitleDisconnected	Logg inn med Meta-bedriftskontoen din
wa.connected	Tilkoblet
wa.paymentRequiredTitle	Du trenger et kort
wa.paymentRequired	Det er gratis å koble til nummeret, men Meta leverer først kundepåminnelser når et kort er lagt til. Du legger det til separat —
wa.paymentMissingTitle	Ingen betalingsmetode
wa.paymentMissing	Akkurat nå virker bare botsvar på innkommende meldinger. Meta avviser påminnelser, bekreftelser og utsendelser til et kort er lagt til —
wa.paymentOkTitle	Betaling tilkoblet
wa.paymentOk	varsler leveres fullt ut.
wa.paymentUnknown	Vi kunne ikke kontrollere betalingsmetoden hos Meta — vi viser status ved neste forsøk.
wa.paymentLink	Metas faktureringssenter
wa.paymentRecheck	Sjekk igjen
wa.paymentFound	Betaling tilkoblet
wa.verify.title	Bedriften er ikke verifisert hos Meta
wa.verify.lead	Nummeret virker, men med redusert grense på 250 unike mottakere per dag. Verifisering fjerner grensen og åpner for full lansering. Studioet må gjøre det selv — WhatsApp-kontoen tilhører deg, og Velora kan ikke gjøre det på dine vegne.
wa.verify.stepsTitle	Slik verifiserer du bedriften:
wa.verify.step1a	Åpne
wa.verify.link	Meta Business Security Center
wa.verify.step1b	og trykk «Start verifisering». Du trenger administratorrettigheter på bedriftskontoen.
wa.verify.step2	Fyll inn de juridiske opplysningene: navnet nøyaktig som i dokumentene, adresse, telefon og nettsted. Nettstedet må være aktivt og bruke HTTPS.
wa.verify.step3	Last opp et registreringsdokument for bedriften og vent på at Meta gjennomgår det.
wa.verify.step4	Bekreft at du er knyttet til bedriften: e-post på nettstedets domene, et anrop eller SMS til oppført telefon, eller domeneverifisering.
wa.verify.step5	Vent på avgjørelsen — vanligvis 1–5 virkedager. Statusen er i samme sikkerhetssenter; ved avslag oppgir Meta grunnen og lar deg søke igjen.
wa.verify.docsTitle	Hvilke dokumenter fungerer (ett fra hver gruppe):
wa.verify.doc1	Registrering: stiftelsesbevis, registerutskrift, bedriftslisens eller skattedokument.
wa.verify.doc2	Bevis på tilstedeværelse: et fungerende nettsted, en offisiell side i sosiale medier eller en oppføring i bedriftskatalog.
wa.verify.pitfallTitle	Den vanligste avslagsgrunnen
wa.verify.pitfall	Bedriftsnavnet i Meta og i dokumentet må samsvare tegn for tegn, også selskapsform og tegnsetting. «Romashka LLC» og «Romashka, LLC» regnes som ulike navn.
wa.templatesTitle	Meldingsmaler
wa.templates	Meta lar deg ikke kontakte en kunde først uten en forhåndsgodkjent mal. Opprett maler for hver hendelse — de går til gjennomgang og begynner å virke når de er godkjent.
wa.templatesAction	Klargjør maler
wa.templatesPending	Oppretter maler…
wa.templatesDone_one	Maler klare: {{count}}. Venter på Meta-gjennomgang
wa.templatesDone_other	Maler klare: {{count}}. Venter på Meta-gjennomgang
wa.templatesPartial	Meta avviste noen maler: {{failed}}. Se loggen for detaljer
wa.templatesRejectedTitle_one	Meta avviste {{count}} mal
wa.templatesRejectedTitle_other	Meta avviste {{count}} maler
wa.templatesRejected	— disse varslene leveres ikke. Kontroller ordlyden i Meta-kontoen og opprett malene på nytt.
wa.templatesPendingTitle_one	{{count}} mal til gjennomgang
wa.templatesPendingTitle_other	{{count}} maler til gjennomgang
wa.templatesPendingHint	— Meta kan bruke opptil en dag. {{approved}} er allerede godkjent og leveres.
wa.templatesOkTitle	Maler godkjent
wa.templatesOk_one	{{count}} besto Meta-gjennomgangen — varsler leveres.
wa.templatesOk_other	Alle {{count}} besto Meta-gjennomgangen — varsler leveres.
wa.paidWarning	WhatsApp-meldinger er betalte
wa.approxPrice	ca.
wa.pricingLoading	Laster gjeldende pris…
wa.perMessage	per melding
wa.viaMeta	faktureres direkte av Meta
wa.windowNotice	Levering er bare garantert innenfor samtalevinduet på 24 timer.
wa.connect	Koble til WhatsApp
wa.disconnect	Koble fra
wa.disconnectTitle	Koble fra WhatsApp?
wa.disconnectMessage	Kunder og ansatte vil slutte å motta varsler gjennom denne kanalen.
wa.close	Lukk
wa.cancel	Avbryt
tabs.matrix	Innstillinger
tabs.log	Leveringslogg
log.title	Leveringslogg
log.subtitle	Hva som ble sendt, til hvem og når, og hvordan hver sending endte.
log.status.sent	Levert
log.status.rejected	Avvist
log.status.error	Tilkoblingsfeil
log.status.pending	Pågår
log.searchPlaceholder	Telefon, e-post eller hendelseskode
log.allChannels	Alle kanaler
log.reset	Tilbakestill
log.refreshing	Oppdaterer…
log.otherEvent	Send utenfor katalogen
log.empty	Ingenting er sendt ennå
log.emptyHint	Hvert varsel studioet sender til kunder og ansatte vises her.
log.emptyFiltered	Ingenting funnet
log.emptyFilteredHint	Prøv å endre filtrene eller søk etter et annet nummer.
log.loadError	Kunne ikke laste loggen
log.loadErrorHint	Oppdater siden — hvis det ikke hjelper, kontakt kundestøtte.
log.range	{{from}}–{{to}} av {{total}}
log.prev	Tilbake
log.next	Neste
