== no
telegram.tokenLabel	Bot-token
errors.wa_not_connected	WhatsApp-nummeret er ikke tilkoblet ennå — koble det til under Varsler.
errors.assistant_unavailable	Assistenten er midlertidig utilgjengelig — prøv igjen senere.
errors.trial_exhausted	Du har brukt alle 500 prøveforespørslene til AI-assistenten. Velg et betalt abonnement for å fortsette.
errors.quota_exceeded	Du har brukt alle AI-forespørslene i dette abonnementet. Grensen tilbakestilles ved månedsskiftet — eller oppgrader abonnementet.
toasts.settingsSaved	Innstillinger lagret
toolStatus.add_client_note	Skriver et notat…
toolStatus.add_client_tag	Legger til en etikett…
toolStatus.add_loyalty_points	Legger til poeng…
toolStatus.book_client	Bestiller timen…
toolStatus.cancel_booking	Avbestiller bookingen…
toolStatus.pay_booking	Registrerer betaling for timen…
toolStatus.clear_schedule	Tømmer timeplanen…
toolStatus.create_account	Oppretter en konto…
toolStatus.create_branch	Oppretter en avdeling…
toolStatus.create_client	Oppretter en kunde…
toolStatus.create_counterparty	Oppretter en motpart…
toolStatus.create_hall	Oppretter et rom…
toolStatus.create_lesson	Oppretter en time…
toolStatus.create_operation	Registrerer transaksjonen…
toolStatus.create_package	Oppretter et klippekort…
toolStatus.create_promo	Oppretter en kampanjekode…
toolStatus.create_service	Oppretter en tjeneste…
toolStatus.create_staff	Legger til et teammedlem…
toolStatus.default	Arbeider…
toolStatus.delete_client	Sletter kunden…
toolStatus.delete_staff	Fjerner teammedlemmet…
toolStatus.fill_schedule	Fyller ut timeplanen…
toolStatus.find_clients	Søker etter kunder…
toolStatus.forget_fact	Glemmer informasjonen…
toolStatus.freeze_client	Fryser kunden…
toolStatus.get_booking_settings	Sjekker bestillingsregler…
toolStatus.get_catalog_settings	Sjekker klippekortinnstillinger…
toolStatus.get_client	Åpner kundekortet…
toolStatus.get_client_events	Leser kundehistorikken…
toolStatus.get_inactive_clients	Finner inaktive kunder…
toolStatus.get_client_notes	Leser kundenotater…
toolStatus.get_client_subscription	Sjekker kundens klippekort…
toolStatus.get_delivery_log	Sjekker leveringsloggen…
toolStatus.get_finance_goals	Sjekker økonomiske mål…
toolStatus.get_finance_summary	Sjekker økonomien…
toolStatus.get_lesson	Åpner timen…
toolStatus.get_loyalty_programs	Sjekker lojalitetsprogrammer…
toolStatus.get_loyalty_summary	Sjekker lojalitet…
toolStatus.get_notification_matrix	Sjekker varsler…
toolStatus.get_payroll	Beregner lønn…
toolStatus.get_rooms	Sjekker rom…
toolStatus.get_schedule	Sjekker timeplanen…
toolStatus.get_segments	Sjekker kundesegmenter…
toolStatus.get_services	Sjekker tjenester…
toolStatus.get_staff	Sjekker teamet…
toolStatus.get_staff_profile	Åpner teammedlemmets kort…
toolStatus.get_stats	Bearbeider tallene…
toolStatus.get_team_report	Måler tilbakekomst per trener…
toolStatus.get_studio_facts	Husker hva jeg vet om studioet…
toolStatus.get_today_agenda	Sjekker dagen i dag…
toolStatus.issue_certificate	Utsteder sertifikatet…
toolStatus.list_operations	Sjekker inntekter og utgifter…
toolStatus.open_ui	Åpner skjermen…
toolStatus.remember_fact	Husker…
toolStatus.remove_client_tag	Fjerner etiketten…
toolStatus.sell_subscription	Selger klippekortet…
toolStatus.set_client_discount	Angir rabatten…
toolStatus.set_staff_day	Merker dagen i timeplanen…
toolStatus.set_staff_schedule	Angir timeplanen…
toolStatus.toggle_notification_event	Bytter varselet…
toolStatus.ui_section	Sjekker hvordan delen fungerer…
toolStatus.update_booking_rules	Oppdaterer bestillingsregler…
toolStatus.update_client	Oppdaterer kundeopplysninger…
toolStatus.update_lesson	Oppdaterer timen…
toolStatus.update_service	Oppdaterer tjenesten…
toolStatus.update_staff	Oppdaterer teammedlemmet…
quota.trialLow	Få prøveforespørsler gjenstår.
quota.label	Forespørsler til AI-assistenten
quota.value	{{used}} av {{limit}}
quota.low	Du er nær månedsgrensen.
quota.upgrade	Velg et abonnement
quota.monthPeriod	Per kalendermåned (UTC)
quota.trialPeriod	For hele prøveperioden
rating.up	Godt svar
rating.down	Dårlig svar
memory.title	Assistenten husker
memory.forget	Glem
memory.forgetConfirmTitle	Glemme denne informasjonen?
memory.forgetConfirmMessage	Assistenten slutter å bruke den i svar.
memory.deleted	Informasjon fjernet
plan.pages.who	Hvem og hva
plan.pages.when	Når
plan.pages.check	Gjennomgå
plan.stepOf	Trinn {{current}} av {{total}}
plan.next	Neste
plan.back	Tilbake
plan.confirm	Godkjenn
plan.confirmDanger	Godkjenn
plan.choose	Velg
plan.nothingFound	Ingenting funnet
plan.nothingToFill	Det er ingenting å fylle ut her — fortsett direkte.
plan.fromStep	opprettet i trinn {{n}}
plan.values.group	gruppe
plan.values.individual	individuell
plan.values.trainer	trener
plan.values.admin	administrator
plan.values.owner	eier
plan.values.hourly	per time
plan.values.percent	% av inntektene
plan.values.fixed	per time
plan.title_one	Godkjenn — {{count}} handling
plan.title_other	Godkjenn — {{count}} handlinger
plan.stillEmpty_one	{{count}} felt igjen
plan.stillEmpty_other	{{count}} felt igjen
