== bg
header.allConfigured	Всички програми са настроени
scenarios.then	→
scenarios.toasts.created	Сценарият е създаден
scenarios.toasts.updated	Сценарият е обновен
scenarios.toasts.deleted	Сценарият е изтрит
scenarios.toasts.failed	Сценарият не можа да се запази
scenarios.delete	Изтрий
segmentsBoard.title	Сегменти и препоръки
segmentsBoard.subtitle	Активни групи клиенти, всяка с едно ясно действие
segmentsBoard.empty	Тук няма нищо и това е добре
segmentsBoard.clients	клиенти
segmentsBoard.daysAgo	преди {{count}} дни
segmentsBoard.neverVisited	без посещения
segmentsBoard.more	и още {{count}}
segmentsBoard.segments.at_risk.name	На път да си тръгнат
segmentsBoard.segments.at_risk.desc	Активни, неактивни 21+ дни
segmentsBoard.segments.at_risk.action	Дай бонус
segmentsBoard.segments.vip_idle.name	VIP без активност
segmentsBoard.segments.vip_idle.desc	VIP клиенти, неактивни 14+ дни
segmentsBoard.segments.vip_idle.action	Стартирай кампания
segmentsBoard.segments.expiring_subscription.name	Абонаментът изтича
segmentsBoard.segments.expiring_subscription.desc	Остават ≤2 занятия или ≤7 дни
segmentsBoard.segments.expiring_subscription.action	Стартирай кампания
segmentsBoard.segments.lost_newcomers.name	Никога не се върнаха
segmentsBoard.segments.lost_newcomers.desc	Дойдоха веднъж, няма ги 14+ дни
segmentsBoard.segments.lost_newcomers.action	Стартирай кампания
segmentsBoard.segments.upsell_candidates.name	Готови за пакет
segmentsBoard.segments.upsell_candidates.desc	8+ посещения този месец, без пакет
segmentsBoard.segments.upsell_candidates.action	Стартирай кампания
segmentsBoard.campaignSub	Сегмент „{{name}}” · {{count}} клиенти
segmentsBoard.pointsLabel	Колко точки да се дадат
segmentsBoard.messageLabel	Текст на съобщението
segmentsBoard.messagePlaceholder	напр. Липсвате ни! Върнете се — чакаме ви.
segmentsBoard.emailNote	Имейлът се изпраща само на клиенти с имейл
segmentsBoard.confirm	Изпрати
segmentsBoard.toasts.pointsDone	Точките са начислени · {{processed}} обработени, {{emails}} уведомени
segmentsBoard.toasts.emailDone	Кампанията е изпратена · {{emails}} имейла от {{processed}}
retention.title	Подновявания на абонаменти
retention.subtitle	Колко добре клиентите се връщат за нов пакет
retention.renewalRate	Подновяване
retention.avgPackages	Пакети на клиент
retention.sold	Продадени
retention.renewed	Подновени
retention.empty	Все още няма продажби на абонаменти
retention.emptySub	Аналитиката ще се появи след първите продажби на пакети
