== tr
tabs.studios	Stüdyolar
modals.package.price	Fiyat, {{currency}}
modals.package.pricePlaceholder	8000
modals.package.perVisitPrice	Ziyaret başına fiyat
modals.package.durationDays	Geçerlilik, gün
modals.package.durationDaysPlaceholder	60
modals.package.services	Hizmetler
modals.package.servicesHint	Hiçbir şey seçilmedi — paket tüm dersler için geçerlidir
modals.package.isActive	Satışta
modals.package.soldAsSubscription	“Üyelikler” sekmesinde göster
modals.package.soldAsSingle	“Tek ziyaretler” sekmesinde göster
modals.package.subtitle	Müşterilere sattığınız ders paketi
modals.package.previewTitle	Kart önizlemesi
modals.package.previewKind	Kart
modals.package.previewValid	Geçerlilik
modals.package.sectionBasic	Temel bilgiler
modals.package.sectionTerms	Koşullar
modals.package.sectionSale	Satış
modals.package.priceShort	Paket fiyatı
modals.package.statClasses	Dersler
modals.package.statDays	Günler
modals.package.statAll	Tümü
modals.package.isActiveHint	Müşteriler bu paketi görebilir ve satın alabilir.
modals.package.soldAsSubscriptionHint	Aksi halde paket yalnızca tek ziyaretlerde kalır.
studios.title	STÜDYOLAR
studios.addStudio	Stüdyo ekle
studios.addHall	{{spaceAcc}} ekle
studios.editBranch	Şubeyi düzenle
studios.deleteBranch	Şubeyi sil
studios.infoTab	Genel bilgiler
studios.hallsTitle	Stüdyo {{spacePlural}}
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Toplam koltuk
studios.stats.fromPerHour	Başlangıç / saat
studios.hall.seats	koltuk
studios.hall.schedule	Çalışma saatleri
studios.hall.closed	Kapalı
studios.hall.stats.seats	Koltuklar
studios.hall.stats.area	Alan
studios.hall.stats.perHour	Saatlik
studios.hall.equipment	Ekipman
studios.hall.actions	İşlemler
studios.hall.edit	{{spaceAcc}} düzenle
studios.hall.delete	{{spaceAcc}} sil
studios.empty.title	Stüdyo yok
studios.empty.subtitle	İlk stüdyonuzu ekleyin
studios.toasts.created	Stüdyo oluşturuldu
studios.toasts.createError	Stüdyo oluşturulamadı
studios.toasts.deleted	Stüdyo silindi
studios.toasts.hallDeleted	Silindi: {{space}}
studios.toasts.saved	Kaydedildi
studios.toasts.edit	Düzenle: {{name}}
studios.confirmDelete	“{{name}}” şubesi silinsin mi? Bu işlem geri alınamaz.
studios.confirmDeleteTitle	Şube silinsin mi?
studios.confirmDeleteHall	{{spaceAcc}} “{{name}}” silinsin mi?
studios.confirmDeleteHallTitle	{{spaceAcc}} silinsin mi?
services.title	HİZMETLER
services.addService	Hizmet ekle
services.types.group	Grup
services.types.individual	Bireysel
services.types.groupFull	 · Grup
services.types.individualFull	 · Bireysel
services.stats.price	Fiyat
services.stats.duration	Süre
services.stats.bookings	Rezervasyonlar
services.stats.revenue	Gelir
services.details.description	Açıklama
services.details.details	Ayrıntılar
services.details.minutes	dakika
services.details.upTo	En çok {{count}} kişi
services.details.personal	Kişisel
services.details.bookingsPerMonth	30 günde rezervasyon
services.details.schedule	Ders takvimi
services.empty.title	Hizmet yok
services.empty.subtitle	İlk hizmetinizi ekleyin
services.toasts.deleted	Hizmet silindi
services.toasts.deleteError	Hizmet silinemedi
services.toasts.saved	Kaydedildi
services.toasts.saveError	Hizmet kaydedilemedi
services.toasts.edit	Düzenle: {{name}}
services.confirmDelete	“{{name}}” hizmeti silinsin mi?
services.confirmDeleteTitle	Hizmet silinsin mi?
services.categories.yoga	Yoga
services.categories.pilates	Pilates
services.categories.stretching	Esneme
services.categories.individual	Bireysel
services.categories.other	Kategorisiz
subscriptions.title	ÜYELİKLER
subscriptions.addPackage	Paket ekle
subscriptions.card.classCount_one	{{count}} ders
subscriptions.card.classCount_other	{{count}} ders
subscriptions.card.duration	{{count}} gün
subscriptions.card.allServices	Tüm dersler
subscriptions.card.serviceCount_one	{{count}} hizmet
subscriptions.card.serviceCount_other	{{count}} hizmet
subscriptions.card.inactiveBadge	Satıştan kaldırıldı
subscriptions.settings.title	Program ayarları
subscriptions.settings.allowFreeze	Üyeliği dondurma
subscriptions.settings.allowTransfer	Başka müşteriye aktarım
subscriptions.settings.autoRenewal	Müşteri bakiyesinden otomatik yenileme
subscriptions.empty.title	Henüz paket yok
subscriptions.empty.cta	Paket oluştur
subscriptions.toasts.created	Paket oluşturuldu
subscriptions.toasts.saved	Kaydedildi
subscriptions.toasts.saveError	Paket kaydedilemedi
subscriptions.toasts.deactivated	Paket satıştan kaldırıldı
subscriptions.toasts.restored	Paket yeniden satışta
subscriptions.toasts.actionError	İşlem tamamlanamadı
subscriptions.deactivate	Satıştan kaldır
subscriptions.restore	Yeniden satışa al
subscriptions.confirmDeactivateTitle	Bu paket satıştan kaldırılsın mı?
subscriptions.confirmDeactivate	Daha önce satılan üyelikler çalışmaya devam eder.
