== sv
telegram.tokenLabel	Bot-token
toolStatus.create_client	Skapar en kund…
toolStatus.create_counterparty	Skapar en motpart…
toolStatus.create_hall	Skapar en sal…
toolStatus.create_lesson	Skapar ett pass…
toolStatus.create_operation	Registrerar transaktionen…
toolStatus.create_package	Skapar ett klippkort…
toolStatus.create_promo	Skapar en kampanjkod…
toolStatus.create_service	Skapar en tjänst…
toolStatus.create_staff	Lägger till en teammedlem…
toolStatus.default	Arbetar…
toolStatus.delete_client	Tar bort kunden…
toolStatus.delete_staff	Tar bort teammedlemmen…
toolStatus.fill_schedule	Fyller i schemat…
toolStatus.find_clients	Söker kunder…
toolStatus.forget_fact	Glömmer uppgiften…
toolStatus.freeze_client	Fryser kunden…
toolStatus.get_booking_settings	Kontrollerar bokningsregler…
toolStatus.get_catalog_settings	Kontrollerar klippkortsinställningar…
toolStatus.get_client	Öppnar kundkortet…
toolStatus.get_client_events	Läser kundhistoriken…
toolStatus.get_inactive_clients	Söker inaktiva kunder…
toolStatus.get_client_notes	Läser kundanteckningar…
toolStatus.get_client_subscription	Kontrollerar kundens klippkort…
toolStatus.get_delivery_log	Kontrollerar leveransloggen…
toolStatus.get_finance_goals	Kontrollerar ekonomiska mål…
toolStatus.get_finance_summary	Kontrollerar ekonomin…
toolStatus.get_lesson	Öppnar passet…
toolStatus.get_loyalty_programs	Kontrollerar lojalitetsprogram…
toolStatus.get_loyalty_summary	Kontrollerar lojalitet…
toolStatus.get_notification_matrix	Kontrollerar notiser…
toolStatus.get_payroll	Beräknar löner…
toolStatus.get_rooms	Kontrollerar salar…
toolStatus.get_schedule	Kontrollerar schemat…
toolStatus.get_segments	Kontrollerar kundsegment…
toolStatus.get_services	Kontrollerar tjänster…
toolStatus.get_staff	Kontrollerar teamet…
toolStatus.get_staff_profile	Öppnar teammedlemmens kort…
toolStatus.get_stats	Bearbetar siffrorna…
toolStatus.get_team_report	Mäter återkomst per tränare…
toolStatus.get_studio_facts	Minns vad jag vet om studion…
toolStatus.get_today_agenda	Kontrollerar i dag…
toolStatus.issue_certificate	Utfärdar certifikatet…
toolStatus.list_operations	Kontrollerar intäkter och utgifter…
toolStatus.open_ui	Öppnar skärmen…
toolStatus.remember_fact	Kommer ihåg…
toolStatus.remove_client_tag	Tar bort etiketten…
toolStatus.sell_subscription	Säljer klippkortet…
toolStatus.set_client_discount	Ställer in rabatten…
toolStatus.set_staff_day	Markerar dagen i schemat…
toolStatus.set_staff_schedule	Ställer in schemat…
toolStatus.toggle_notification_event	Växlar notisen…
toolStatus.ui_section	Kontrollerar hur avsnittet fungerar…
toolStatus.update_booking_rules	Uppdaterar bokningsregler…
toolStatus.update_client	Uppdaterar kunduppgifter…
toolStatus.update_lesson	Uppdaterar passet…
toolStatus.update_service	Uppdaterar tjänsten…
toolStatus.update_staff	Uppdaterar teammedlemmen…
quota.trialLow	Få provförfrågningar återstår.
quota.label	Förfrågningar till AI-assistenten
quota.value	{{used}} av {{limit}}
quota.low	Du är nära månadsgränsen.
quota.upgrade	Välj en plan
quota.monthPeriod	Per kalendermånad (UTC)
quota.trialPeriod	För hela provperioden
rating.up	Bra svar
rating.down	Dåligt svar
memory.title	Assistenten minns
memory.forget	Glöm
memory.forgetConfirmTitle	Glömma denna uppgift?
memory.forgetConfirmMessage	Assistenten slutar använda den i svar.
memory.deleted	Uppgiften har tagits bort
plan.pages.who	Vem och vad
plan.pages.when	När
plan.pages.check	Granska
plan.stepOf	Steg {{current}} av {{total}}
plan.next	Nästa
plan.back	Tillbaka
plan.confirm	Godkänn
plan.confirmDanger	Godkänn
plan.choose	Välj
plan.nothingFound	Inget hittades
plan.nothingToFill	Det finns inget att fylla i här — fortsätt direkt.
plan.fromStep	skapat i steg {{n}}
plan.values.group	grupp
plan.values.individual	individuell
plan.values.trainer	tränare
plan.values.admin	administratör
plan.values.owner	ägare
plan.values.hourly	per timme
plan.values.percent	% av intäkterna
plan.values.fixed	per pass
plan.title_one	Godkänn — {{count}} åtgärd
plan.title_other	Godkänn — {{count}} åtgärder
plan.stillEmpty_one	{{count}} fält återstår
plan.stillEmpty_other	{{count}} fält återstår
