== hu
telegram.tokenLabel	Bot-token
chat.thinkingTitle	A Velora AI gondolkodik...
chat.readySubtitle	Tegyen fel kérdést, vagy válasszon javaslatot
chat.thinkingSubtitle	A kérés feldolgozása folyamatban
chat.placeholder	Írjon üzenetet...
chat.drawerPlaceholder	Kérdezzen bármit...
chat.navbarPlaceholder	Kérdezze az AI-t, vagy adjon feladatot...
chat.enterToSend	Küldés Enterrel
chat.shiftEnterNewline	Új sor Shift+Enterrel
chat.aiDisclaimer	A Velora AI hibázhat. Ellenőrizze a fontos információkat.
chat.continueInChat	Folytatás a csevegésben →
chat.emptyTitle	Hogyan segíthetek?
chat.emptySubtitle	Kérdezzen bármit a stúdiójáról, az ügyfeleiről vagy a vállalkozásáról
chat.charCount_one	{{count}} / 4000 karakter
chat.charCount_other	{{count}} / 4000 karakter
chat.suggestions.revenue	Mutasd e hónap bevételi statisztikáit
chat.suggestions.sms	Írj SMS-emlékeztetőt egy időpontról
chat.suggestions.promo	Ötletek nyári promócióhoz
chat.suggestions.retention	Hogyan javíthatom az ügyfélmegtartást?
chat.drawerSuggestions.revenueAnalysis	Bevételelemzés
chat.drawerSuggestions.emailTemplate	E-mail-sablon
chat.drawerSuggestions.promoIdeas	Promóciós ötletek
chat.drawerSuggestions.clientReport	Ügyféljelentés
drawer.historyBack	Csevegések
drawer.historyLabel	Előzmények
agents.title	AI-ügynökök
agents.info.title	Mik az AI-ügynökök?
agents.info.lead	Asszisztens, amely válaszol az ügyfeleknek a stúdió üzenetküldőiben, amikor Ön elfoglalt.
agents.info.b1	Éjjel-nappal válaszol — senki sem vár adminisztrátorra
agents.info.b2	Ismeri a stúdió időbeosztását, szolgáltatásait és árait
agents.info.b3	Ön határozza meg a válaszok hangnemét és hosszát
agents.info.note	A csatorna a beállításokban való kapcsolás után kezd működni
agents.activeCount	{{active}} / {{total}}
agents.stateOn	Válaszol
agents.stateOffline	Nincs kapcsolódva
agents.configureButton	Ügynökök beállítása
agents.enable	Engedélyezés
agents.disable	Letiltás
agents.modalTitle	AI-ügynök beállítása
agents.modalSubtitle	Automatikus válaszok üzenetküldőkben
agents.tabPrompt	Rendszerutasítás
agents.statusDisabled	Letiltva
agents.statHandled	Kezelt
agents.statRating	Értékelés
agents.styleTitle	Válaszstílus
agents.styleAllChannels	minden csatornára érvényes
agents.toneLabel	A válasz hangneme
agents.tone.friendly	Barátságos
agents.tone.formal	Hivatalos
agents.tone.neutral	Semleges
agents.maxLengthLabel	Válasz maximális hossza (karakter)
agents.maxLengthError	Adjon meg 50 és 4000 közötti számot
agents.offHoursLabel	Automatikus válasz csak munkaidőn kívül
agents.promptHint	Ez a szöveg határozza meg az ügynök személyiségét — hogyan kommunikál, mit tud, és milyen témákat kerül.
agents.promptPlaceholder	Ön egy udvarias stúdióasszisztens...
agents.promptCount_one	{{count}} / 2000 karakter
agents.promptCount_other	{{count}} / 2000 karakter
agents.tgChannelInactive	A Telegram-csatorna ki van kapcsolva az Online foglalásban — a bot nem kap üzeneteket, így az ügynök hallgat.
errors.tg_token_required	Először kapcsoljon Telegram-botot — még nincs mentett token.
errors.ig_not_connected	Az Instagram még nincs kapcsolva.
errors.wa_not_connected	A WhatsApp-szám még nincs kapcsolva — kapcsolja az Értesítéseknél.
errors.assistant_unavailable	Az asszisztens átmenetileg nem érhető el — próbálja újra később.
errors.trial_exhausted	Elhasználta az AI-asszisztens mind az 500 próbakérését. A folytatáshoz válasszon fizetős csomagot.
errors.quota_exceeded	Elhasználta a csomag összes AI-kérését. A keret a hónap elején újraindul — vagy váltson magasabb csomagra.
toasts.settingsSaved	Beállítások mentve
toolStatus.add_client_note	Jegyzet írása…
toolStatus.add_client_tag	Címke hozzáadása…
toolStatus.add_loyalty_points	Pontok hozzáadása…
toolStatus.book_client	Óra foglalása…
toolStatus.cancel_booking	Foglalás lemondása…
toolStatus.pay_booking	Óra fizetésének rögzítése…
toolStatus.clear_schedule	Időbeosztás törlése…
toolStatus.create_account	Fiók létrehozása…
toolStatus.create_branch	Telephely létrehozása…
toolStatus.create_client	Ügyfél létrehozása…
toolStatus.create_counterparty	Partner létrehozása…
toolStatus.create_hall	Terem létrehozása…
toolStatus.create_lesson	Óra létrehozása…
toolStatus.create_operation	Tranzakció rögzítése…
toolStatus.create_package	Bérlet létrehozása…
toolStatus.create_promo	Promóciós kód létrehozása…
toolStatus.create_service	Szolgáltatás létrehozása…
toolStatus.create_staff	Csapattag hozzáadása…
toolStatus.default	Feldolgozás…
toolStatus.delete_client	Ügyfél törlése…
toolStatus.delete_staff	Csapattag eltávolítása…
toolStatus.fill_schedule	Időbeosztás feltöltése…
toolStatus.find_clients	Ügyfelek keresése…
toolStatus.forget_fact	Információ elfelejtése…
toolStatus.freeze_client	Ügyfél felfüggesztése…
toolStatus.get_booking_settings	Foglalási szabályok ellenőrzése…
toolStatus.get_catalog_settings	Bérletbeállítások ellenőrzése…
toolStatus.get_client	Ügyfélkártya megnyitása…
toolStatus.get_client_events	Ügyféltörténet olvasása…
toolStatus.get_inactive_clients	Inaktív ügyfelek keresése…
toolStatus.get_client_notes	Ügyféljegyzetek olvasása…
toolStatus.get_client_subscription	Ügyfélbérlet ellenőrzése…
toolStatus.get_delivery_log	Kézbesítési napló ellenőrzése…
toolStatus.get_finance_goals	Pénzügyi célok ellenőrzése…
toolStatus.get_finance_summary	Pénzügyek ellenőrzése…
toolStatus.get_lesson	Óra megnyitása…
toolStatus.get_loyalty_programs	Hűségprogramok ellenőrzése…
toolStatus.get_loyalty_summary	Hűség ellenőrzése…
toolStatus.get_notification_matrix	Értesítések ellenőrzése…
toolStatus.get_payroll	Bérszámfejtés számítása…
toolStatus.get_rooms	Termek ellenőrzése…
toolStatus.get_schedule	Időbeosztás ellenőrzése…
toolStatus.get_segments	Ügyfélszegmensek ellenőrzése…
toolStatus.get_services	Szolgáltatások ellenőrzése…
toolStatus.get_staff	Csapat ellenőrzése…
toolStatus.get_staff_profile	Csapattag-kártya megnyitása…
toolStatus.get_stats	Számok feldolgozása…
toolStatus.get_team_report	Visszatérés mérése edzőnként…
toolStatus.get_studio_facts	A stúdióról tudottak felidézése…
toolStatus.get_today_agenda	Mai nap ellenőrzése…
toolStatus.issue_certificate	Tanúsítvány kiállítása…
toolStatus.list_operations	Bevételek és kiadások ellenőrzése…
toolStatus.open_ui	Képernyő megnyitása…
toolStatus.remember_fact	Megjegyzés…
toolStatus.remove_client_tag	Címke eltávolítása…
toolStatus.sell_subscription	Bérlet eladása…
toolStatus.set_client_discount	Kedvezmény beállítása…
toolStatus.set_staff_day	Nap jelölése az időbeosztásban…
toolStatus.set_staff_schedule	Időbeosztás beállítása…
toolStatus.toggle_notification_event	Értesítés váltása…
toolStatus.ui_section	Szakasz működésének ellenőrzése…
toolStatus.update_booking_rules	Foglalási szabályok frissítése…
toolStatus.update_client	Ügyféladatok frissítése…
toolStatus.update_lesson	Óra frissítése…
toolStatus.update_service	Szolgáltatás frissítése…
toolStatus.update_staff	Csapattag frissítése…
quota.trialLow	Kevés próbakérés maradt.
quota.label	AI-asszisztens kérései
quota.value	{{used}} / {{limit}}
quota.low	Közel van a havi korláthoz.
quota.upgrade	Csomag választása
quota.monthPeriod	Naptári hónaponként (UTC)
quota.trialPeriod	A teljes próbaidőszakra
rating.up	Jó válasz
rating.down	Rossz válasz
memory.title	Az asszisztens emlékszik
memory.forget	Elfelejtés
memory.forgetConfirmTitle	Elfelejti ezt az információt?
memory.forgetConfirmMessage	Az asszisztens nem fogja többé használni a válaszokban.
memory.deleted	Információ eltávolítva
plan.pages.who	Ki és mi
plan.pages.when	Mikor
plan.pages.check	Ellenőrzés
plan.stepOf	{{current}}. lépés / {{total}}
plan.next	Tovább
plan.back	Vissza
plan.confirm	Jóváhagyás
plan.confirmDanger	Jóváhagyás
plan.choose	Válasszon
plan.nothingFound	Nincs találat
plan.nothingToFill	Itt nincs mit kitölteni — folytassa közvetlenül.
plan.fromStep	létrehozva a(z) {{n}}. lépésben
plan.values.group	csoport
plan.values.individual	egyéni
plan.values.trainer	edző
plan.values.admin	adminisztrátor
plan.values.owner	tulajdonos
plan.values.hourly	óránként
plan.values.percent	% a bevételből
plan.values.fixed	óránként
plan.title_one	Jóváhagyás — {{count}} művelet
plan.title_other	Jóváhagyás — {{count}} művelet
plan.stillEmpty_one	{{count}} mező maradt
plan.stillEmpty_other	{{count}} mező maradt
