== tr
nav.sectionLabel	Sistem ayarları
integrations.guide.instagram.steps.1	Instagram Graph API ürünüyle Meta for Developers'ta bir uygulama oluşturun
integrations.guide.instagram.steps.2	instagram_basic ve instagram_manage_messages izinleriyle erişim belirteci oluşturun
integrations.guide.instagram.steps.3	Instagram işletme hesabı kimliğini ve belirteci kopyalayıp aşağıya yapıştırın
integrations.guide.instagram.steps.4	Meta incelemesi olmadan bağlantı yalnızca uygulamanın test hesaplarında çalışır
integrations.guide.google_calendar.steps.0	Bağlan'a tıklayın — Google oturum açma penceresi açılır
integrations.guide.google_calendar.steps.1	Stüdyo takviminin bağlı olduğu hesabı seçin
integrations.guide.google_calendar.steps.2	Takvim erişimi verin — dersler otomatik olarak görünmeye başlar
integrations.capabilities.notify	bu kanalda müşteri bildirimleri
integrations.capabilities.booking	bu kanal üzerinden çevrim içi rezervasyon
integrations.capabilities.dm_agent	Direct'te otomatik yanıtlar için AI temsilcisi
integrations.capabilities.schedule_sync	Google Calendar ile takvim eşitleme
integrations.disconnect.title	{{name}} bağlantısı kesilsin mi?
integrations.disconnect.willStop	Bunlar çalışmayı durdurur:
integrations.disconnect.checkbox	Sonuçları anlıyorum
integrations.disconnect.cancel	İptal
integrations.disconnect.confirm	Bağlantıyı kes
integrations.google.connected	Google Calendar bağlandı
integrations.google.denied	Google Calendar erişimi verilmedi
integrations.google.error	Google Calendar bağlanamadı
integrations.google.primary	birincil
integrations.google.calendar	Takvim
integrations.google.selectCalendar	Takvim seçin
integrations.google.loadingCalendars	Takvimler yükleniyor…
integrations.google.syncMode	Eşitleme modu
integrations.google.syncModeOptions.push	Yalnızca CRM'den Google'a
integrations.google.syncModeOptions.two_way	Çift yönlü
integrations.google.syncNow	Şimdi eşitle
integrations.google.lastSync	Son eşitleme: {{date}}
integrations.google.neverSynced	Henüz eşitlenmedi
integrations.google.timezoneWarning	Stüdyo saat dilimi ayarlanmadı — etkinlikler UTC olarak gönderilir ve gerçek ders saatlerinden farklı olabilir. Saat dilimini Genel bölümünde ayarlayın.
integrations.google.syncResult	Eşitlendi: {{pushed}} gönderildi, {{pulled}} alındı
integrations.google.settingsSaved	Google Calendar ayarları kaydedildi
integrations.toast.connected	Entegrasyon bağlandı
integrations.toast.disconnected	Entegrasyon bağlantısı kesildi
data.export.title	Raporları ve listeleri dışa aktar
data.export.subtitle	Muhasebe ve analiz için tablo biçiminde dosyalar indirin
data.export.clearFilter	Dönemi temizle
data.export.items.clients.name	Müşteri listesi
data.export.items.schedule.name	Günlük ve rezervasyon geçmişi
data.export.items.finances.name	Finansal rapor
data.export.items.subscriptions.name	Müşteri abonelikleri
data.export.rows_one	{{count}} kayıt
data.export.rows_other	{{count}} kayıt
data.export.loading	Yükleniyor...
data.export.empty	bu dönem için veri yok
