== es
legal.terms	Términos del servicio
mode.termsMinimum	La tarifa mínima mensual es {{amount}} {{currency}}. Si durante un mes natural la plataforma ha ganado menos que esto con tu estudio, se te factura la diferencia. Si ganas más que el mínimo, no hay factura. Una tarifa mínima impagada suspende el acceso igual que una factura de comisión impagada.
mode.termsBurn	ATENCIÓN: Te queda período pagado. Al cambiar el modelo de facturación lo PIERDES POR COMPLETO: los días sin usar no se reembolsan ni se trasladan.
mode.termsCombo	El cambio es una COMPRA: justo después de confirmar verás el importe a pagar. El resto del período pagado actual se pierde: no se reembolsa ni se traslada. El modelo fijo + % se activa SOLO después del pago; hasta entonces tu plan sigue igual y no se cobra nada.
combo.rateBadge	{{rate}}%
combo.summary	Fijo {{fixed}}/mes + {{rate}}% de las ventas (efectivo facturado mensualmente)
combo.cta	Activar plan combinado
combo.ctaShort	Activar combinación
period.1	1 mes
period.3	3 meses
period.6	6 meses
period.12	1 año
period.24	2 años
period.title	Período de pago
period.discountActive	El descuento del {{percent}}% está activo
period.noDiscount	Sin descuento
period.discountLabel	−{{percent}}% de descuento
calculator.title	Parámetros del cálculo
calculator.monthlyTurnover	Tu facturación mensual online
calculator.turnoverRangeMin	50 mil
calculator.turnoverRangeMax	3 M+
calculator.chooseFeeLabel	Elige la tasa de comisión (afecta a las funciones)
calculator.feeOptions.basic	Básico
calculator.feeOptions.standard	Estándar
calculator.feeOptions.pro	Pro
calculator.feeOptions.max	Máximo
calculator.chooseFixedLabel	Elige la parte fija base (la adquisición siempre es del 3%)
calculator.fixedOptions.start	Start
calculator.fixedOptions.optima	Optima
calculator.fixedOptions.business	Business
calculator.economyPercentTitle	AHORRO DEL PLAN
calculator.economyComboTitle	AHORRO DEL PLAN COMBINADO
calculator.turnover	Facturación del estudio
calculator.systemFee	Tarifa del sistema
calculator.totalMonthlyPayment	PAGO MENSUAL TOTAL
calculator.onlyPayForResult	No pagas cuota fija, solo por resultados
calculator.activatePercent	Activar modelo del {{percent}}%
calculator.baseSubscription	Suscripción base (fija)
calculator.acquiringFee	Adquisición de pagos / tarifa
calculator.activateCombo	Activar plan combinado
planCards.bestChoice	Mejor opción
planCards.current	Actual
planCards.perMonth	/ mes
planCards.currentPlan	Plan actual
planCards.yourPrice	Tu precio
planCards.staffLimit	Hasta {{count}} miembros del equipo
planCards.staffUnlimited	Equipo ilimitado
paymentSchedule.title	Calendario de pagos
paymentSchedule.total	Total a pagar
paymentSchedule.morePayments	+ {{count}} pagos más de {{amount}}
paymentSchedule.processing	Redirigiendo al pago…
paymentSchedule.payFor	Pagar {{count}} meses
paymentSchedule.vatNote	Sin IVA: el impuesto se añade al pagar según tu país
trust.title	Por qué más de 2400 negocios confían en nosotros
trust.reviews.0.text	Cambiamos desde Altegio. La diferencia es como entre un taxi y un jet privado.
trust.reviews.0.author	Maria K., FORM Pilates
trust.reviews.1.text	Lo mejor es saber exactamente cuánto pago cada mes. Sin sorpresas.
trust.reviews.1.author	Artem N., Barbershop Bros
trust.reviews.2.text	El soporte respondió en 4 minutos. No he visto eso en ningún otro sitio.
trust.reviews.2.author	Elena D., SPA LUNA
upgrade.priceLine	Precio {{price}}/mes
upgrade.discountNote	 {{percent}}% de descuento al pagar {{period}} meses
upgrade.planLabel	Plan
upgrade.periodLabel	Período
upgrade.periodValue_one	{{count}} mes
upgrade.periodValue_other	{{count}} meses
upgrade.discountLabel	Descuento
upgrade.scheduledBadge	Desde {{date}} — plan «{{plan}}»
upgrade.vatNote	Sin IVA: el impuesto se añade al pagar según los datos de tu empresa; las empresas de la UE con número de IVA aplican inversión del sujeto pasivo.
method.notLinked	No vinculada
method.badgeTitle	El método de pago está protegido
method.tokenSub	Token del proveedor · vence {{expiry}}
method.tokenNote	Los datos reales de la tarjeta los almacena el proveedor de pagos (PCI DSS L1). Solo conservamos un token de un solo uso para las renovaciones.
method.securityTitle	Normas de protección de datos
method.security.pciDss	Cifrado PCI DSS nivel 1
method.security.secure3d	Protección de transacciones 3D Secure
method.security.noStorage	Los datos de la tarjeta nunca pasan por nuestros servidores
method.security.autoLink	La tarjeta se vincula en el primer pago
method.noCardDetail	No necesitas introducir los datos por separado: el pago se realiza en la página segura de Stripe.
method.renewDone	La factura se creó — el pago se está procesando
method.renewBusy	Creando factura…
method.renewSuccess	La factura de renovación se creó
method.renewError	No se pudo crear la factura. Inténtalo de nuevo.
method.renewNow	Renovar ahora con tarjeta •••• {{last4}}
method.autopayTitle	Ajustes de pago automático
method.autopaySuccess	Ajuste guardado
method.autopayError	No se pudo guardar el ajuste. Inténtalo de nuevo.
method.autopay.cardOnly	Disponible al pagar con tarjeta
method.autopay.autoRenew.label	Renovación automática
method.autopay.autoRenew.desc	Desactívala para cancelar al final del período pagado
method.autopay.autoRenew.until	La suscripción no se renovará — acceso hasta {{date}}
method.autopay.emailNotify.label	Notificaciones por correo electrónico
method.autopay.emailNotify.desc	La factura se envía por correo tras cada pago
method.autopay.remind3d.label	Recordar 3 días antes
method.autopay.remind3d.desc	Te avisaremos antes del cargo automático
method.autopay.sms.label	Notificación por SMS
method.autopay.sms.desc	Se envía un mensaje de texto cuando se realiza el cargo
method.portal.title	Datos de facturación e IVA
method.portal.subtitle	Las facturas, la tarjeta vinculada y el historial de cargos están en el portal de clientes de Stripe.
method.portal.cta	Abrir en Stripe
method.ibanBadgeLabel	Transferencia bancaria (SEPA)
method.ibanBadgeNote	Las facturas llegan por correo con un enlace de pago; no se carga nada automáticamente en la tarjeta. También puedes pagar antes desde la página de la factura.
invoices.title	Historial de pagos
invoices.totalPaid	total pagado {{amount}}
invoices.exportCsv	Exportar CSV
invoices.exportError	No se pudo exportar el CSV. Inténtalo de nuevo.
invoices.receiptError	No se pudo abrir la factura. Inténtalo de nuevo.
invoices.invoiceNo	Factura #{{id}}
invoices.methodCard	Pagado con tarjeta
invoices.methodIban	Pagado por transferencia bancaria (IBAN)
invoices.syncHint	Comprueba el estado con el servicio de pagos
invoices.syncChanged	Estado actualizado: {{status}}
invoices.syncUnchanged	El servicio de pagos confirmó el mismo estado
invoices.syncError	No se pudo comprobar el estado. Inténtalo de nuevo.
invoices.kindOfflineFee	Comisión por ventas offline
invoices.kindMinFee	Tarifa mínima mensual
invoices.kindOnlineFee	Comisión por pagos online
invoices.methodWithheld	Retenido por Stripe al pagar
table.date	Fecha
table.description	Descripción
table.amount	Importe
table.status	Estado
table.receipt	Factura
status.paid	Pagado
status.pending	Pendiente
status.failed	No pagado
status.refunded	Reembolsado
empty.noInvoices	Aún no hay facturas: aparecerán después del primer pago.
empty.noCard	Tu tarjeta aparecerá automáticamente después del primer pago.
empty.monthsWithUs	Aún no has comprado una suscripción
empty.noData	Sin datos
savings.title	Tus ahorros
savings.prepayTitle	Tus ahorros al pagar por adelantado
savings.emptyState	Elige un período más largo y empieza a ahorrar
savings.youSave	Ahorras {{amount}} durante {{months}} meses
savings.freeMonths	Es como {{count}} meses gratis
savings.amountLabel	{{amount}} ahorrados
savings.comparedToMonthly	frente al pago mensual
savings.forMonths_one	Por {{count}} mes
savings.forMonths_other	Por {{count}} meses
pay	Pagar
continuePlan	Continuar plan
payModal.titleNew	Iniciar plan {{plan}}
payModal.titleSwitch	Cambiar a {{plan}}
payModal.titleRenew	Renovar {{plan}}
payModal.totalLabel	Tu plan costará
payModal.burnWarning	Cambiar a otro plan reinicia el período: la parte restante de tu plan {{plan}} SE PIERDE, no se reembolsa ni se traslada. Renovar el mismo plan la conserva.
payModal.switched	El plan ha cambiado: no hay nada que pagar; el cambio se cubrió con la parte restante del período actual.
payModal.renewNote	Esto renueva el mismo plan: los meses que compres se suman al período pagado actual. No se pierde nada.
payModal.cardNote	Pago con tarjeta en la página segura de Stripe · reembolso en 7 días
payModal.freeUntil	No se realizará ningún cargo hasta {{date}}: te quedan {{count}} días del período pagado. La facturación empieza ese día.
payModal.taxLabel	IVA
payModal.taxLine	IVA {{rate}}%
payModal.reverseCharge	Inversión del sujeto pasivo
payModal.totalWithTax	Total con IVA
payModal.taxServerNote	El impuesto se calcula a partir de tus datos de facturación. La factura mostrará el mismo importe.
payModal.taxReview	No pudimos determinar el impuesto con tus datos de facturación, por lo que el total se muestra sin él y el pago no puede completarse. Comprueba el país y la dirección del pagador o contacta con soporte.
offlineFee.title	Tarifa por ventas offline
offlineFee.accruing	Acumulada de efectivo y depósitos al {{rate}}%. Se factura mensualmente y tienes {{days}} días para pagar.
offlineFee.due	La factura se emitió. Días restantes para pagar: {{days}}.
offlineFee.suspended	El pago está vencido: el acceso al CRM y a la miniaplicación está suspendido.
offlineFee.pay	Pagar
offlineFee.suspendedMin	La tarifa mínima mensual está vencida: el acceso al CRM y a la miniaplicación está suspendido.
offlineFee.alsoAccruing	Además, se acumula este mes: {{amount}}; se incluirá en la próxima factura.
offlineFee.minimum	La tarifa mínima mensual es {{amount}}. Si ganas menos durante el mes, pagas la diferencia; si ganas más, no hay factura.
offlineFee.pendingBill	Acumulado según el modelo anterior, pendiente de factura.
offlineFee.notBilledYet	Aún no se emitió factura: el importe acumulado está por debajo del mínimo facturable o la factura sigue preparándose. No se pierde nada: se incluirá en la siguiente factura.
trial.title	Oferta para estudios nuevos
trial.subtitle	Tu estudio acaba de crearse
trial.headline	{{days}} días gratis
trial.noCard	No se necesita tarjeta: ahora no tienes nada que pagar
trial.perks.allModules	Acceso completo a todos los módulos: agenda, clientes, finanzas, notificaciones y Velora AI
trial.perks.noCommitment	Sin compromiso: si no te encaja, simplemente no renueves
trial.perks.keepData	Todo lo que introduzcas durante la prueba sigue siendo tuyo
trial.activate	Activar
trial.decline	Rechazar
trial.cardHint	Aún no has activado el período gratuito de este estudio. Seguirá disponible hasta que compres un plan.
profile.title	Datos de facturación
profile.editTitle	Editar datos de facturación
profile.subtitle	Tu dirección aparece en la factura y determina el tipo impositivo. Se guarda en tu cuenta: no la pediremos otra vez en otro estudio.
profile.subtitlePay	Rellénala una vez y la próxima vez el pago irá directamente. Tu dirección aparece en la factura y determina el tipo impositivo.
profile.cardTitle	Datos de facturación
profile.cardSubtitle	Se guardan en tu cuenta y se usan en todos los estudios. Así aparecerán en la factura.
profile.cardEmpty	Aún no se han rellenado: los pediremos antes del primer pago. Puedes añadirlos ahora.
profile.add	Añadir datos de facturación
profile.edit	Editar
profile.save	Guardar
profile.saveAndPay	Guardar y continuar al pago
profile.cancel	Cancelar
profile.saved	Datos de facturación guardados
profile.vatNone	No indicado
profile.fields.country	País o región
profile.fields.countryPlaceholder	Elige un país
profile.fields.address	Dirección
profile.fields.line1	Línea de dirección 1
profile.fields.line1Placeholder	Calle y número
profile.fields.line2	Línea de dirección 2 — opcional
profile.fields.line2Placeholder	Piso, suite, número de unidad, etc.
profile.fields.postalCode	Código postal
profile.fields.postalCodePlaceholder	110 00
profile.fields.city	Ciudad
profile.fields.cityPlaceholder	Praga
profile.fields.vat	Número de IVA — opcional
profile.fields.vatPlaceholder	{{prefix}}12345678
profile.fields.vatHint	Solo para empresas. El número se comprueba en el registro de la UE (VIES) al guardar; no aceptamos números no verificados. Con un número válido, a una empresa de otro país de la UE se le factura sin impuesto (inversión del sujeto pasivo). Los particulares no lo tienen: deja el campo vacío.
profile.fields.countrySearch	Empieza a escribir un nombre
profile.fields.countryNotFound	No se encontró el país
profile.fields.vatOutsideEu	No pedimos número de IVA: fuera de la UE, el impuesto lo determina el país del pagador, no el número, por lo que no afecta a la factura.
profile.fields.vatPending	Tu número se guardó, pero el registro de la UE no estaba disponible en ese momento, así que aún no está confirmado y tu próxima factura incluirá el IVA completo. No tienes que introducirlo de nuevo: seguiremos comprobándolo y, en cuanto el registro responda, el impuesto dejará de cobrarse. Para una factura ya pagada, soporte reembolsará el impuesto.
profile.errors.required	Este campo es obligatorio
profile.preview.invoice	Factura
profile.preview.billTo	Facturar a
profile.preview.note	Así aparecen tus datos en cada factura. Puedes cambiarlos en cualquier momento en Plan y facturación → Método de pago.
