== hu
tabs.overview	Áttekintés
clients.kpi.returned	Visszatértek
clients.kpi.lost	Elveszettek
clients.kpi.retention	Megtartás
clients.kpi.avgValue	Ügyfélérték
clients.chart.title	Újak és visszatérők
clients.chart.new	Újak
clients.chart.returned	Visszatérők
clients.riskTitle	Kockázati szegmensek
clients.loyalTitle	Hűségesek
clients.list	Lista
clients.campaign	Kampány indítása
clients.exportList	Lista exportálása
clients.emptySegment	A(z) „{{name}}” szegmensben jelenleg nincs ügyfél
clients.segments.new.name	Új ügyfelek
clients.segments.new.desc	A kiválasztott időszakban regisztráltak
clients.segments.returned.name	Visszatérő ügyfelek
clients.segments.returned.desc	Ebben és az előző időszakban is látogattak
clients.segments.lost.name	Elveszett ügyfelek
clients.segments.lost.desc	Az előző időszakban látogattak, de ebben nem tértek vissza
clients.segments.active.name	Aktív ügyfelek
clients.segments.active.desc	A kiválasztott időszakban legalább egy foglalkozáson részt vettek
clients.segments.at_risk.name	Veszélyzónában
clients.segments.at_risk.desc	Aktívak, de 21+ napja nem jártak itt
clients.segments.vip_idle.name	Inaktív VIP-ek
clients.segments.vip_idle.desc	VIP ügyfelek, 14+ napja nem jártak itt
clients.segments.expiring_subscription.name	Lejáró előfizetés
clients.segments.expiring_subscription.desc	≤2 foglalkozás vagy ≤7 nap maradt
clients.segments.lost_newcomers.name	Sosem tértek vissza
clients.segments.lost_newcomers.desc	Egyszer jöttek, 14+ napja eltűntek
clients.segments.upsell_candidates.name	Készek a nagyobb csomagra
clients.segments.upsell_candidates.desc	8+ látogatás ebben a hónapban, csomag nélkül
clients.segments.frequent.name	Gyakori látogatók
clients.segments.frequent.desc	8+ látogatás az időszakban
clients.segments.high_ltv.name	Magas LTV
clients.segments.high_ltv.desc	A teljes költés alapján a felső 10%
clients.segments.referrers.name	Ajánlók
clients.segments.referrers.desc	Az időszakban ajánlást teljesítettek
clients.listSearch	Keresés név vagy telefonszám alapján
clients.shownOf	{{shown}} / {{total}} megjelenítve
clients.noMatches	Nincs találat erre: „{{query}}”
clients.resetSearch	Visszaállítás
clients.neverVisited	Sosem látogatott el
clients.valueLabel.visits	Látogatások
clients.valueLabel.spent	Költés
clients.valueLabel.daysIdle	Inaktív napok
clients.valueLabel.remaining	Hátralévő foglalkozások
clients.valueLabel.value	Érték
clients.relative.today	Ma
clients.relative.daysAgo_one	{{count}} napja
clients.relative.daysAgo_other	{{count}} napja
team.kpi.lessonsCount	Foglalkozások
team.kpi.revenuePerHour	Bevétel/óra
team.kpi.avgFillPct	Telítettségi arány
team.kpi.cancelNoshowPct	Lemondások/távolmaradások
team.kpi.avgRating	Értékelés
team.table.title	Edzők
team.table.trainer	Edző
team.table.lessons	Foglalkozások
team.table.fillPct	Telítettségi arány
team.table.attendance	Részvétel
team.table.revenue	Bevétel
team.table.returnRate	Visszatérési arány
team.table.cancels	Lemondások
team.table.fillPctHint	Betöltött helyek a tervezett helyekből
team.table.returnRateHint	Ügyfelek, akik újra ennél az edzőnél foglaltak
team.table.cancelsHint	Lemondott foglalkozások és ügyfél-távolmaradások
team.table.ratingHint	Az ügyfelek által az edző foglalkozásaira adott átlagos értékelés
team.drawer.revenueByWeek	Bevétel hetenként
team.drawer.loadByWeekday	Terhelés hétköznaponként
team.drawer.loadByHour	Terhelés napszak szerint
team.drawer.loadDim.weekday	Nap szerint
team.drawer.loadDim.hour	Óra szerint
team.drawer.schedule.title	Időbeosztás
team.drawer.schedule.empty	Nincsenek foglalkozások ebben az időszakban
team.drawer.topLessons	Kedvenc foglalkozások
team.drawer.returnBlock	Ügyfelek visszatérése
team.drawer.returnOf	{{returned}} ügyfél tért vissza {{total}} közül ({{pct}}%)
team.drawer.openProfile	Profil megnyitása
team.drawer.held	Megtartva
team.drawer.attendance	Részvétel
team.weekdays.0	V
team.weekdays.1	H
team.weekdays.2	K
team.weekdays.3	Sze
team.weekdays.4	Cs
team.weekdays.5	P
team.weekdays.6	Szo
schedule.weekdaysMonFirst.0	H
schedule.weekdaysMonFirst.1	K
schedule.weekdaysMonFirst.2	Sze
schedule.weekdaysMonFirst.3	Cs
schedule.weekdaysMonFirst.4	P
schedule.weekdaysMonFirst.5	Szo
schedule.weekdaysMonFirst.6	V
schedule.kpi.avgFillPct	Telítettségi arány
schedule.kpi.freeSpots	Szabad helyek
schedule.kpi.cancels	Lemondások
schedule.kpi.noshows	Távolmaradások
schedule.kpi.lostRevenue	Elveszett bevétel
schedule.heatmap.title	Terhelés nap és óra szerint
schedule.heatmap.legend	Telítettségi arány:
schedule.heatmap.tooltip	{{lessons}} foglalkozás · {{attendance}} résztvevő · {{pct}}%
schedule.heatmap.empty	Nincsenek foglalkozások
schedule.slices.topProfitable	Legjövedelmezőbb
schedule.slices.topFilled	Legtelítettebb
schedule.slices.chronicLow	Tartósan alacsony telítettségű
schedule.slices.halls	Kihasználtság: {{spacePlural}}
schedule.slices.held	{{count}} megtartva
schedule.slices.weeks	{{count}} hét
schedule.slices.move	Áthelyezés
schedule.slices.cancel	Lemondás
schedule.slices.eveningIdle	esti kihasználatlanság {{pct}}%
schedule.losses.title	Lemondások és távolmaradások
schedule.losses.dim.hour	Időpont szerint
schedule.losses.dim.service	Szolgáltatás szerint
schedule.losses.dim.trainer	Edző szerint
schedule.losses.cancels_one	{{count}} lemondás
schedule.losses.cancels_other	{{count}} lemondás
schedule.losses.noshows_one	{{count}} távolmaradás
schedule.losses.noshows_other	{{count}} távolmaradás
schedule.losses.lostSpots_one	−{{count}} hely
schedule.losses.lostSpots_other	−{{count}} hely
schedule.status.confirmed	Megerősítve
schedule.status.pending	Függőben
schedule.status.cancelled	Lemondva
schedule.slot.summary	{{from}} — {{to}} között
schedule.slot.lessonsCount	Összes foglalkozás
export.csv	CSV letöltése
scopeNote.label	A teljes stúdióban
scopeNote.money	A Telephely és {{space}} szűrő nem befolyásolja a pénzügyi adatokat — a fizetés nem kötődik hozzájuk
scopeNote.clientBase	Az edző, a(z) {{space}}, a telephely és a szolgáltatás nem változtatja ezt a mutatót — az ügyfél nem kötődik hozzájuk
descriptions.overview.metric.revenue	Minden pénz, amely a stúdióba érkezett az időszakban
descriptions.overview.metric.profit	Ami az időszak kiadásai után megmarad
descriptions.overview.metric.attendance	Foglalkozások, amelyeken az ügyfelek ténylegesen részt vettek
descriptions.overview.metric.new_clients	Az időszakban regisztrált ügyfelek
descriptions.overview.metric.fill_rate	A foglalkozások telítettsége: lefoglalt helyek a rendelkezésre álló helyekből
descriptions.overview.revenueStructure	Miből áll össze a bevétele ebben az időszakban
descriptions.overview.clientDynamics	Hányan jöttek először, tértek vissza vagy hagytak fel a látogatással
descriptions.sales.chart	Bevétel és vásárlások száma naponta
descriptions.sales.byCategory	Az egyes termékek részesedése a bevételből
descriptions.sales.byMethod	Hogyan oszlik meg a bevétel fizetési mód szerint
descriptions.sales.buyerType	Mennyi bevétel származik új, illetve visszatérő ügyfelektől
descriptions.sales.products	Minden termék: hányat adtak el, mennyiért, és növekszik-e az értékesítés
descriptions.clients.chart	Hány ügyfél jött először, és hány tért vissza, hetenként
descriptions.clients.riskSegments	Ügyfelek, akiket elveszíthet, ha most nem keresi meg őket
descriptions.clients.loyalSegments	Akik a legtöbbet járnak, költenek és barátokat hoznak
descriptions.team.trainers	Összehasonlítás terhelés, bevétel és ügyfél-visszatérési arány alapján
descriptions.team.loadWeekday	A hét mely napjain elfoglalt az edző, és mikor szabad
descriptions.team.loadHour	Mikor telnek meg a foglalkozásai, és mikor maradnak üresek
descriptions.team.schedule	Az edző összes foglalkozása a kiválasztott időszakban
descriptions.schedule.heatmap	Hol túlzsúfolt az időbeosztás, és hol üres
descriptions.schedule.topProfitable	Az időbeosztás azon időpontjai, amelyek a legtöbb pénzt hozzák
descriptions.schedule.topFilled	Az időpontok, amelyeket az ügyfelek a legszívesebben foglalnak
descriptions.schedule.chronicLow	Idősávok, amelyek hetek óta a helyek kevesebb mint egyharmadára telnek meg
descriptions.schedule.halls	Az idő mekkora részében használják ténylegesen a(z) {{spacePlural}} helyiségeit
descriptions.schedule.losses	Hol veszít helyeket a stúdió: lemondott foglalkozások vagy távol maradó ügyfelek miatt
formulas.salesCount.title	Értékesítések
formulas.salesCount.text	Hányszor fizettek Önnek az ügyfelek ebben az időszakban. Egy személy, aki többször fizet, külön értékesítéseknek számít.
formulas.revenue.title	Bevétel
formulas.revenue.text	Minden pénz, amely a fizetés dátuma szerint ebben az időszakban a stúdióba érkezett. Csomagok, egyedi alkalmak, ajándékkártyák és kiskereskedelem — együtt.
formulas.profit.title	Nyereség
formulas.profit.text	Ami az időszak kiadásai — bérlet, fizetések, kellékek — után megmarad. Ez a tényleges nyeresége.
formulas.attendance.title	Részvétel
formulas.attendance.text	Hány látogatást teljesítettek ténylegesen az ügyfelek. Csak a részt vettként megjelölt foglalkozások számítanak.
formulas.bookings.title	Foglalások
formulas.bookings.text	Hány foglalást tettek az ügyfelek foglalkozásokra. A lemondott foglalások nem számítanak.
formulas.noshow.title	Távolmaradás
formulas.noshow.text	Az ügyfél foglalt, a foglalkozást megtartották, de nem jelent meg. Minden ilyen eset egy hely, amelyet más elfoglalhatott volna.
formulas.activeClients.title	Aktív ügyfelek
formulas.activeClients.text	Hány különböző ember jött el legalább egyszer ebben az időszakban. Minden ügyfél egyszer számít, a látogatások számától függetlenül.
formulas.occupancy.title	Telítettség
formulas.occupancy.text	Mennyire teltek a foglalkozásai: betöltött helyek a tervezett helyekből. A 100% azt jelenti, hogy nincs több szabad hely.
formulas.avgCheck.title	Átlagos kosárérték
formulas.avgCheck.text	Mennyit hoz átlagosan egy fizetés. Nő, amikor az ügyfelek hosszabb csomagokat vagy kiegészítőket vásárolnak.
formulas.retention.title	Megtartás
formulas.retention.text	Az előző időszak ügyfelei közül hányan tértek vissza ebben az időszakban. Megmutatja, hogy megtartja-e őket, vagy minden hónapban nulláról indul.
formulas.newClients.title	Új ügyfelek
formulas.newClients.text	Azok az emberek, akik először jelentek meg az ügyféladatbázisában ebben az időszakban.
formulas.returning.title	Visszatérők
formulas.returning.text	Ügyfelek, akik már jártak Önnél, és ebben az időszakban ismét visszatértek.
formulas.lost.title	Elveszettek
formulas.lost.text	Az előző időszakban látogattak, de ebben egyszer sem jelentek meg. Még mindig érdemes felvenni velük a kapcsolatot.
formulas.clientValue.title	Ügyfélérték
formulas.clientValue.text	Mennyit hoz átlagosan egy ügyfél ebben az időszakban.
formulas.repeatPurchaseShare.title	Ismételt vásárlások aránya
formulas.repeatPurchaseShare.text	Azon ügyfelek aránya, akik többször vásároltak Öntől. Minél magasabb, annál erősebb a visszatérés szokása.
formulas.renewalRate.title	Megújítási arány
formulas.renewalRate.text	Hány ügyfél vásárolt új csomagot az előző lejárta után.
formulas.revenuePerHour.title	Bevétel óránként (edző)
formulas.revenuePerHour.text	Mennyi pénzt hoz egy edző egy óra munkája. Így igazságosan összehasonlíthatók az edzők — valaki kevesebb foglalkozást tarthat, de mindegyik többet hoz.
formulas.trainerReturnRate.title	Visszatérési arány (edző)
formulas.trainerReturnRate.text	Egy edző ügyfeleinek aránya, akik ismét nála foglaltak.
formulas.missedRevenue.title	Elveszett bevétel
formulas.missedRevenue.text	Az a pénz, amelyet a stúdió a korábbi foglalkozások üres helyei miatt nem keresett meg: szabad helyek szorozva a foglalkozás árával.
formulas.losses.title	Lemondások és távolmaradások
formulas.losses.text	A „lemondás” lemondott foglalkozást jelent; a „távolmaradás” olyan ügyfelet, aki foglalt, de nem jött el. Az idő/szolgáltatás/edző szerinti bontások ugyanazokat a szűrőket használják, mint a fül, és egyeznek a fejléc KPI-jaival.
formulas.lessonRevenue.title	Foglalkozás bevétele
formulas.lessonRevenue.text	A foglalkozás bevételének durva becslése: résztvevők száma szorozva az árral. A fizetések nem kötődnek egy konkrét foglalkozáshoz, így ez közelítés, nem pontos összeg.
formulas.filtersScope.title	Szűrők hatóköre
formulas.filtersScope.text	A Telephely és {{space}} szűrők csak a foglalkozási mutatókra vonatkoznak. A fizetéseknek nincs ilyen kapcsolata, ezért a pénzügyi adatokat a teljes stúdióra mutatjuk.
formulas.avgValue.title	Ügyfélérték
formulas.avgValue.text	Mennyit hoz átlagosan egy ügyfél ebben az időszakban.
formulas.cancelNoshow.title	Lemondások és távolmaradások
formulas.cancelNoshow.text	A zavart foglalkozások aránya: lemondások és távolmaradások az összes tervezettből.
formulas.avgRating.title	Átlagos értékelés
formulas.avgRating.text	Az átlagos értékelés, amelyet az ügyfelek ennek az edzőnek a foglalkozásaira adtak.
formulas.teamScope.title	Adatok hatóköre
formulas.teamScope.text	Ez csak egy adott edzőhöz kapcsolódó bevételt számol, ezért az összes edző összege alacsonyabb lehet a stúdió teljes bevételénél.
formulas.lessonsCount.title	Foglalkozások
formulas.lessonsCount.text	Hány foglalkozást tartottak az edzők ebben az időszakban.
formulas.load.title	Terhelés
formulas.load.text	Mennyire zsúfolt egy edző napja: a lefoglalt órái a stúdió nyitvatartási idejéből.
formulas.weeklyClients.title	Újak és visszatérők
formulas.weeklyClients.text	Hetenként: hányan jöttek Önhöz először, és hányan tértek vissza. Az egészséges stúdió mindkét vonalon növekszik.
formulas.byCategory.title	Bevétel kategóriánként
formulas.byCategory.text	Amin ténylegesen keres: csomagokon, egyedi alkalmakon, ajándékkártyákon és kiskereskedelmen.
formulas.byMethod.title	Fizetési módok
formulas.byMethod.text	Hogyan fizetnek az ügyfelek. Segít látni, szükség van-e kártyaelfogadásra, és mennyi pénz kerüli meg a pénztárat.
formulas.buyerType.title	Ki fizet
formulas.buyerType.text	Új ügyfelek szemben a visszatérőkkel. Ha szinte minden bevétel új ügyfelektől jön, a stúdió nem tartja meg őket.
formulas.products.title	Mi fogy
formulas.products.text	Az időszak összes csomagja és szolgáltatása: hányat adtak el, mennyiért, és növekszik-e az értékesítés.
formulas.topProfitable.title	Legjövedelmezőbb idősávok
formulas.topProfitable.text	Az időbeosztás azon időpontjai, amelyek a legtöbb pénzt hozzák. Tegye oda a legjobb edzőit.
formulas.topFilled.title	Legtelítettebb idősávok
formulas.topFilled.text	Az időpontok, amelyeket az ügyfelek a legszívesebben foglalnak. Ha teljesen tele vannak, érdemes még egy foglalkozást hozzáadni.
formulas.chronicLow.title	Tartósan üres idősávok
formulas.chronicLow.text	Időpontok, amelyek több hete a helyek kevesebb mint egyharmadára telnek meg. Áthelyezésre vagy megszüntetésre jelöltek.
formulas.hallUtil.title	Kihasználtság: {{spacePlural}}
formulas.hallUtil.text	Az idő mekkora részében használják ténylegesen a(z) {{spacePlural}} helyiségeit. Az üres idő olyan bérlet, amely nem térül meg.
formulas.heatmap.title	Terhelés nap és óra szerint
formulas.heatmap.text	A szín az idősáv átlagos telítettségét mutatja az időszakban. Kattintson egy cellára az adott nap és óra foglalkozásaihoz.
formulas.riskSegments.title	Kockázati szegmensek
formulas.riskSegments.text	Ügyfelek a kockázatuk típusa szerint csoportosítva — hogy elveszíti őket, vagy nem hoznak bevételt. Minden kártyának saját oka és egyértelmű következő lépése van: írjon nekik, ajánljon megújítást vagy magasabb csomagot.
formulas.loyalSegments.title	Hűségesek
formulas.loyalSegments.text	Ügyfelek, akik már most a legtöbb értéket hozzák: gyakran járnak, a legtöbbet költenek vagy barátokat hoznak. Érdemes gondoskodni róluk és jutalmazni őket.
formulas.segment.at_risk.title	Veszélyzónában
formulas.segment.at_risk.text	Régen rendszeresen jártak, most pedig eltűntek. Egy üzenettel még visszahozhatók.
formulas.segment.vip_idle.title	Inaktív VIP-ek
formulas.segment.vip_idle.text	Ügyfelek, akik mindenkinél többet költöttek, de már egy ideje nem látogattak el.
formulas.segment.expiring_subscription.title	Lejáró előfizetés
formulas.segment.expiring_subscription.text	Ezeknek az ügyfeleknek 1–2 foglalkozásuk maradt. Ez a legjobb pillanat a megújítás felajánlására.
formulas.segment.lost_newcomers.title	Vissza nem térő újak
formulas.segment.lost_newcomers.text	Egyszer jöttek és eltűntek. Általában az első foglalkozáson múlik — érdemes utánanézni.
formulas.segment.upsell_candidates.title	Készek többre
formulas.segment.upsell_candidates.text	Gyakran járnak, de a legegyszerűbb csomagot veszik. Érdemes drágább előfizetést felajánlani nekik.
formulas.segment.frequent.title	Rendszeresek
formulas.segment.frequent.text	Mindenkinél gyakrabban járnak. A stúdió bevételének gerince.
formulas.segment.high_ltv.title	Legértékesebbek
formulas.segment.high_ltv.text	Mindenkinél több pénzt hoztak a stúdiónak, teljes időtávon.
formulas.segment.referrers.title	Barátokat hoznak
formulas.segment.referrers.text	Ügyfelek, akiknek ajánlásai más embereket hoztak Önhöz.
