== no
header.allConfigured	Alle programmer er konfigurert
config.depositTopClients	Toppkunder etter saldo
config.depositEmpty	Ingen har et innskudd ennå
config.depositHint	Påfyll og uttak gjøres på kundens profil. Henvisningsprogrammet kan betale bonuser til innskuddet i stedet for som poeng.
validation.required	Dette feltet er påkrevd
validation.minOne	Må være minst 1
validation.minZero	Kan ikke være negativt
validation.positive	Må være større enn 0
validation.range0to100	0 til 100
toasts.saved	Programmet er aktivert
toasts.saveFailed	Kunne ikke lagre
toasts.toggleFailed	Kunne ikke oppdatere programmet
toasts.loadFailed	Kunne ikke laste data
toasts.retry	Prøv igjen
stats.notConnected	Programmet er ikke koblet til
stats.willAppear	Data vises etter oppsett
stats.noData	Ingen data
stats.connectProgram	Koble til et program
stats.revenueHeadline	Inntekter fra medlemmer
stats.membersHeadline	Programmedlemmer
stats.returnedClients	Kunder som har kommet tilbake
stats.returnedClientsSub	2+ besøk på 90 dager
stats.avgCheckHeadline	Gjennomsnittlig kjøp per medlem
stats.bonusCostHeadline	Kostnad for bonuser
stats.bonusCostSub	denne måneden
stats.roiHeadline	ROI
stats.roiValue	×{{value}}
stats.perMonth	denne måneden
stats.cardHolders	kortinnehavere
stats.kpi	Nøkkeltall
stats.members	Medlemmer
stats.withCard	med kort
stats.avgCheck	Gjennomsnittlig kjøp
stats.byMembers	blant medlemmer
stats.pointsInCirculation	Poeng i omløp
stats.accrued	opptjent
stats.revenue	Inntekter
stats.revenuePerMonth	fra medlemmer / mnd.
stats.levelDistribution	Fordeling etter nivå
stats.noLevels	Nivåer er ikke konfigurert ennå
stats.totalClients	Totalt antall kunder i programmet
stats.fromValue	fra {{value}}
stats.levelPointValue	poeng = {{value}}
scenarios.title	Smarte scenarioer
scenarios.subtitle	Autopilot for kundebevaring: systemet finner kunder og belønner dem for deg
scenarios.add	Scenario
scenarios.fired	utløst {{count}} ganger
scenarios.lastRun	sist kjørt {{when}}
scenarios.neverRun	ikke kjørt ennå
scenarios.empty	Det finnes ingen scenarioer ennå
scenarios.emptySub	Lag det første — systemet beholder kundene for deg
scenarios.channel	Kanal
scenarios.channelSoon	etter at integrasjonen er koblet til
scenarios.pickTemplate	Velg et scenario
scenarios.pickTemplateSub	En ferdig mal — juster tersklene senere
scenarios.create	Opprett
scenarios.deleteConfirm	Slette scenarioet?
scenarios.deleteConfirmSub	Regelen slutter å utløses. Dette kan ikke angres.
scenarios.triggers.inactive_days	inaktiv i {{days}} dager
scenarios.triggers.low_subscription	≤ {{classes_left}} timer igjen
scenarios.triggers.birthday	bursdag
scenarios.triggers.nth_visit	besøk nr. {{n}}
scenarios.triggers.referral	henviste en venn
scenarios.actions.points	gi {{points}} poeng
scenarios.actions.gift_classes	gi {{classes}} timer
scenarios.actions.certificate	utsted et sertifikat på {{amount}} ₽
scenarios.actions.renewal_offer	tilby fornyelse med {{discount}} % rabatt
scenarios.templates.win_back.name	Vi savner deg
scenarios.templates.win_back.desc	Få tilbake en kunde som ikke har besøkt på en stund
scenarios.templates.expiring_subscription.name	Abonnementet er snart tomt
scenarios.templates.expiring_subscription.desc	Tilby fornyelse før timene er brukt opp
scenarios.templates.birthday_gift.name	Bursdagsgave
scenarios.templates.birthday_gift.desc	Gled en kunde på den spesielle dagen
scenarios.templates.fifth_visit.name	Lojalitetsbelønning
scenarios.templates.fifth_visit.desc	En gratis time for lojalitet
scenarios.templates.referral_thanks.name	Takk for vennen
scenarios.templates.referral_thanks.desc	Belønn den som tok med en ny kunde
scenarios.ifClient	Hvis kunden
scenarios.then	→
scenarios.toasts.created	Scenarioet er opprettet
scenarios.toasts.updated	Scenarioet er oppdatert
scenarios.toasts.deleted	Scenarioet er slettet
scenarios.toasts.failed	Kunne ikke lagre scenarioet
scenarios.delete	Slett
segmentsBoard.title	Segmenter og anbefalinger
segmentsBoard.subtitle	Aktive kundegrupper, hver med ett tydelig neste steg
segmentsBoard.empty	Det er ingenting her, og det er bra
segmentsBoard.clients	kunder
segmentsBoard.daysAgo	{{count}} dager siden
segmentsBoard.neverVisited	ingen besøk
segmentsBoard.more	og {{count}} til
segmentsBoard.segments.at_risk.name	På vei bort
segmentsBoard.segments.at_risk.desc	Aktive, inaktive i 21+ dager
segmentsBoard.segments.at_risk.action	Gi bonus
segmentsBoard.segments.vip_idle.name	VIP har blitt stille
segmentsBoard.segments.vip_idle.desc	VIP-kunder, inaktive i 14+ dager
segmentsBoard.segments.vip_idle.action	Start kampanje
segmentsBoard.segments.expiring_subscription.name	Abonnementet utløper
segmentsBoard.segments.expiring_subscription.desc	≤2 timer eller ≤7 dager igjen
segmentsBoard.segments.expiring_subscription.action	Start kampanje
segmentsBoard.segments.lost_newcomers.name	Kom aldri tilbake
segmentsBoard.segments.lost_newcomers.desc	Kom én gang, borte i 14+ dager
segmentsBoard.segments.lost_newcomers.action	Start kampanje
segmentsBoard.segments.upsell_candidates.name	Klar for pakke
segmentsBoard.segments.upsell_candidates.desc	8+ besøk denne måneden, ingen pakke
segmentsBoard.segments.upsell_candidates.action	Start kampanje
segmentsBoard.campaignSub	Segmentet «{{name}}» · {{count}} kunder
segmentsBoard.pointsLabel	Hvor mange poeng skal gis
segmentsBoard.messageLabel	Meldingstekst
segmentsBoard.messagePlaceholder	f.eks. Vi savner deg! Kom tilbake — vi venter på deg.
segmentsBoard.emailNote	E-post sendes bare til kunder med e-postadresse
segmentsBoard.confirm	Send
segmentsBoard.toasts.pointsDone	Poeng tildelt · {{processed}} behandlet, {{emails}} varslet
segmentsBoard.toasts.emailDone	Kampanje sendt · {{emails}} e-poster av {{processed}}
retention.title	Fornyelser av abonnement
retention.subtitle	Hvor godt kunder kommer tilbake for en ny pakke
retention.renewalRate	Forny
retention.avgPackages	Pakker per kunde
retention.sold	Solgt
retention.renewed	Fornyet
retention.empty	Ingen abonnementssalg ennå
retention.emptySub	Analysen vises etter de første pakkesalgene
