== pl
categories.all	Wszyscy
addModal.submit	Dodaj klienta ✓
addModal.stepCounter	Krok {{current}} z {{total}}
addModal.trustSignal	Dane są chronione i widoczne tylko dla administratorów
addModal.steps.1.title	Dane osobowe
addModal.steps.1.sub	Wpisz dane kontaktowe klienta
addModal.steps.2.title	Dane profilu
addModal.steps.2.sub	Dodatkowe informacje (opcjonalnie)
addModal.steps.3.title	Abonament
addModal.steps.3.sub	Wybierz typ abonamentu i dodaj notatkę
addModal.steps.4.title	Gotowe!
addModal.steps.4.sub	Sprawdź dane i dodaj klienta
addModal.step1.previewLabel	Nowy klient · Podgląd
addModal.step1.name	Imię i nazwisko *
addModal.step1.namePlaceholder	Jan Kowalski
addModal.step1.phone	Telefon
addModal.step1.phonePlaceholder	+48 500 000 000
addModal.step1.email	E-mail
addModal.step1.emailPlaceholder	klient@przyklad.pl
addModal.step2.bday	Data urodzenia
addModal.step2.bdayPlaceholder	12 kwietnia 1990
addModal.step2.city	Miasto
addModal.step2.cityPlaceholder	Warszawa
addModal.step2.tags	Tagi
addModal.step2.tagsPlaceholder	Pilates, VIP, rehabilitacja… (Enter)
addModal.step2.tagsHint	Naciśnij Enter, aby dodać tag
addModal.step2.inviteCode	Kod zaproszenia osoby polecającej
addModal.step2.inviteCodePlaceholder	Opcjonalnie
addModal.step2.inviteCodeHint	Jeśli go podasz, oboje otrzymacie bonus
addModal.step3.classCount	Abonament
addModal.step3.classesUnit	zajęć
addModal.step3.classesCount_one	{{count}} zajęcie
addModal.step3.classesCount_few	{{count}} zajęcia
addModal.step3.classesCount_many	{{count}} zajęć
addModal.step3.selected	Wybrano
addModal.step3.noPackage	Bez abonamentu
addModal.step3.noPackages	To studio nie ma jeszcze pakietów abonamentowych
addModal.step3.noPackagesLink	Utwórz pakiety w Katalogu →
addModal.step3.alreadyPaid	Czy klient zapłacił już za ten abonament?
addModal.step3.yes	Tak
addModal.step3.no	Nie
addModal.step3.note	Notatka
addModal.step3.notePlaceholder	Szczególne prośby, przeciwwskazania, preferencje…
addModal.step4.readyTitle	Dane wypełnione!
addModal.step4.readySub	Sprawdź dane i potwierdź dodanie
addModal.step4.newClient	Nowy klient
addModal.step4.fields.phone	Telefon
addModal.step4.fields.email	E-mail
addModal.step4.fields.bday	Data urodzenia
addModal.step4.fields.city	Miasto
addModal.step4.fields.subscription	Abonament
addModal.step4.fields.tags	Tagi
addModal.step4.subscriptionValue_one	{{count}} zajęcie
addModal.step4.subscriptionValue_few	{{count}} zajęcia
addModal.step4.subscriptionValue_many	{{count}} zajęć
addModal.step4.smsTitle	Wyślij powitalny SMS
addModal.step4.smsSub	Klient otrzyma wiadomość z zaproszeniem
addModal.errors.name	Wpisz imię (co najmniej 2 znaki)
addModal.errors.phone	Nieprawidłowy numer telefonu
addModal.errors.email	Nieprawidłowy e-mail
addModal.errors.city	Wpisz miasto
deleteModal.title	Usunąć klienta?
deleteModal.body	Za chwilę usuniesz klienta
deleteModal.warning	Tej operacji nie można cofnąć.
deleteModal.cancel	Anuluj
deleteModal.confirm	Usuń
deleteModal.success	Klient usunięty
